"Tabela 10062 - Número médio de anos de estudo das pessoas com 11 anos ou mais de idade, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Número médio de anos de estudo das pessoas de 11 anos ou mais de idade (Anos)"
"Município";"Cor ou raça";"Ano x Grupo de idade x Sexo"
"Município";"Cor ou raça";"2022"
"Município";"Cor ou raça";"Total";;;"25 anos ou mais"
"Município";"Cor ou raça";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Itapura (SP)";"Total";"9,1";"9,1";"9,2";"8,9";"8,9";"9,0"
"Itaquaquecetuba (SP)";"Total";"9,5";"9,4";"9,6";"9,5";"9,4";"9,6"
"Itararé (SP)";"Total";"9,2";"9,0";"9,4";"9,0";"8,8";"9,3"
"Itariri (SP)";"Total";"8,8";"8,5";"9,1";"8,6";"8,2";"9,0"
"Itatiba (SP)";"Total";"10,6";"10,5";"10,7";"10,8";"10,7";"10,8"
"Itatinga (SP)";"Total";"9,1";"9,0";"9,1";"8,9";"8,9";"9,0"
"Itirapina (SP)";"Total";"9,3";"9,2";"9,6";"9,3";"9,1";"9,6"
"Itirapuã (SP)";"Total";"8,5";"8,2";"8,7";"8,2";"7,8";"8,6"
"Itobi (SP)";"Total";"9,0";"8,7";"9,4";"8,9";"8,5";"9,2"
"Itu (SP)";"Total";"10,3";"10,1";"10,4";"10,4";"10,2";"10,5"
"Itupeva (SP)";"Total";"10,3";"10,2";"10,4";"10,5";"10,4";"10,5"
"Ituverava (SP)";"Total";"9,7";"9,6";"9,8";"9,7";"9,7";"9,8"
"Jaborandi (SP)";"Total";"9,2";"9,0";"9,5";"9,1";"8,9";"9,3"
"Jaboticabal (SP)";"Total";"10,4";"10,4";"10,4";"10,4";"10,4";"10,4"
"Jacareí (SP)";"Total";"10,7";"10,7";"10,7";"10,9";"11,0";"10,8"
