codigo_municipio,nome_municipio,ano,categoria_rede_agua,variavel,unidade_medida,valor
3504305,Avaí - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1649
3504305,Avaí - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1299
3504305,Avaí - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,5
3504305,Avaí - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,345
3504404,Avanhandava - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,3539
3504404,Avanhandava - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,3413
3504404,Avanhandava - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,14
3504404,Avanhandava - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,112
3504503,Avaré - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,33478
3504503,Avaré - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,31520
3504503,Avaré - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,1011
3504503,Avaré - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,947
3504602,Bady Bassitt - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,9958
3504602,Bady Bassitt - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,9499
3504602,Bady Bassitt - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,44
3504602,Bady Bassitt - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,415
3504701,Balbinos - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,542
3504701,Balbinos - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,498
3504701,Balbinos - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,4
3504701,Balbinos - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,40
3504800,Bálsamo - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,3708
3504800,Bálsamo - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,3445
3504800,Bálsamo - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,75
3504800,Bálsamo - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,188
3504909,Bananal - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,3710
3504909,Bananal - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,3046
3504909,Bananal - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,31
3504909,Bananal - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,633
3505005,Barão de Antonina - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1336
3505005,Barão de Antonina - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1009
3505005,Barão de Antonina - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,85
3505005,Barão de Antonina - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,242
3505104,Barbosa - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2110
3505104,Barbosa - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1939
3505104,Barbosa - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,16
3505104,Barbosa - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,155
3505203,Bariri - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,11749
3505203,Bariri - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,11314
3505203,Bariri - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,75
3505203,Bariri - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,360
3505302,Barra Bonita - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,12894
