"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Cunha (SP)";"Total";"Total";"18407";"9274";"9133";"17167";"8612";"8555";"1240";"662";"578"
"Descalvado (SP)";"Total";"Total";"26449";"12917";"13532";"25441";"12460";"12981";"1008";"457";"551"
"Diadema (SP)";"Total";"Total";"321600";"151092";"170508";"311229";"146823";"164406";"10371";"4269";"6102"
"Dirce Reis (SP)";"Total";"Total";"1369";"692";"677";"1242";"630";"612";"127";"62";"65"
"Divinolândia (SP)";"Total";"Total";"9472";"4645";"4827";"9004";"4410";"4594";"468";"235";"233"
"Dobrada (SP)";"Total";"Total";"6963";"3465";"3498";"6320";"3140";"3180";"643";"325";"318"
"Dois Córregos (SP)";"Total";"Total";"19776";"9646";"10130";"18627";"9058";"9569";"1149";"588";"561"
"Dolcinópolis (SP)";"Total";"Total";"1865";"937";"928";"1724";"872";"852";"141";"65";"76"
"Dourado (SP)";"Total";"Total";"6864";"3378";"3486";"6530";"3235";"3295";"334";"143";"191"
"Dracena (SP)";"Total";"Total";"38333";"18663";"19670";"37002";"18123";"18879";"1331";"540";"791"
"Duartina (SP)";"Total";"Total";"10357";"5026";"5331";"9915";"4828";"5087";"442";"198";"244"
"Dumont (SP)";"Total";"Total";"7779";"3793";"3986";"7474";"3656";"3818";"305";"137";"168"
"Echaporã (SP)";"Total";"Total";"5014";"2441";"2573";"4748";"2310";"2438";"266";"131";"135"
"Eldorado (SP)";"Total";"Total";"10119";"5051";"5068";"9348";"4677";"4671";"771";"374";"397"
"Elias Fausto (SP)";"Total";"Total";"14194";"7093";"7101";"13437";"6744";"6693";"757";"349";"408"
"Elisiário (SP)";"Total";"Total";"2592";"1319";"1273";"2428";"1245";"1183";"164";"74";"90"
"Embaúba (SP)";"Total";"Total";"1938";"973";"965";"1818";"917";"901";"120";"56";"64"
"Embu das Artes (SP)";"Total";"Total";"198349";"93774";"104575";"189925";"90104";"99821";"8424";"3670";"4754"
"Embu-Guaçu (SP)";"Total";"Total";"53272";"25799";"27473";"50840";"24647";"26193";"2432";"1152";"1280"
"Emilianópolis (SP)";"Total";"Total";"2536";"1256";"1280";"2344";"1170";"1174";"192";"86";"106"
"Engenheiro Coelho (SP)";"Total";"Total";"15544";"7746";"7798";"14651";"7307";"7344";"893";"439";"454"
"Espírito Santo do Pinhal (SP)";"Total";"Total";"33649";"16116";"17533";"32308";"15516";"16792";"1341";"600";"741"
"Espírito Santo do Turvo (SP)";"Total";"Total";"3249";"1605";"1644";"2978";"1476";"1502";"271";"129";"142"
"Estrela d'Oeste (SP)";"Total";"Total";"7884";"3997";"3887";"7415";"3773";"3642";"469";"224";"245"
