"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Itatinga (SP)";"Total";"Total";"100,00";"53,55";"46,45";"94,27";"50,69";"43,58";"5,73";"2,86";"2,86"
"Itirapina (SP)";"Total";"Total";"100,00";"60,40";"39,60";"96,51";"58,54";"37,96";"3,49";"1,86";"1,64"
"Itirapuã (SP)";"Total";"Total";"100,00";"50,15";"49,85";"93,82";"47,26";"46,56";"6,18";"2,90";"3,29"
"Itobi (SP)";"Total";"Total";"100,00";"50,76";"49,24";"94,21";"47,76";"46,46";"5,79";"3,01";"2,78"
"Itu (SP)";"Total";"Total";"100,00";"48,33";"51,67";"96,51";"46,63";"49,88";"3,49";"1,70";"1,79"
"Itupeva (SP)";"Total";"Total";"100,00";"49,50";"50,50";"97,41";"48,25";"49,16";"2,59";"1,25";"1,33"
"Ituverava (SP)";"Total";"Total";"100,00";"47,49";"52,51";"95,44";"45,37";"50,07";"4,56";"2,11";"2,44"
"Jaborandi (SP)";"Total";"Total";"100,00";"49,34";"50,66";"95,01";"46,95";"48,06";"4,99";"2,39";"2,60"
"Jaboticabal (SP)";"Total";"Total";"100,00";"47,09";"52,91";"96,57";"45,61";"50,96";"3,43";"1,48";"1,95"
"Jacareí (SP)";"Total";"Total";"100,00";"47,57";"52,43";"97,30";"46,40";"50,90";"2,70";"1,17";"1,53"
"Jaci (SP)";"Total";"Total";"100,00";"50,47";"49,53";"93,43";"47,14";"46,29";"6,57";"3,33";"3,25"
"Jacupiranga (SP)";"Total";"Total";"100,00";"49,30";"50,70";"94,44";"46,85";"47,60";"5,56";"2,45";"3,11"
"Jaguariúna (SP)";"Total";"Total";"100,00";"48,00";"52,00";"97,50";"46,97";"50,53";"2,50";"1,03";"1,47"
"Jales (SP)";"Total";"Total";"100,00";"47,84";"52,16";"96,27";"46,27";"50,00";"3,73";"1,57";"2,16"
"Jambeiro (SP)";"Total";"Total";"100,00";"50,22";"49,78";"94,16";"47,18";"46,98";"5,84";"3,05";"2,79"
"Jandira (SP)";"Total";"Total";"100,00";"47,81";"52,19";"96,95";"46,52";"50,42";"3,05";"1,28";"1,77"
"Jardinópolis (SP)";"Total";"Total";"100,00";"51,76";"48,24";"96,11";"49,84";"46,27";"3,89";"1,92";"1,97"
"Jarinu (SP)";"Total";"Total";"100,00";"49,68";"50,32";"96,08";"47,82";"48,26";"3,92";"1,86";"2,06"
"Jaú (SP)";"Total";"Total";"100,00";"47,65";"52,35";"96,92";"46,40";"50,52";"3,08";"1,24";"1,84"
"Jeriquara (SP)";"Total";"Total";"100,00";"50,55";"49,45";"94,33";"47,43";"46,90";"5,67";"3,12";"2,55"
"Joanópolis (SP)";"Total";"Total";"100,00";"50,40";"49,60";"93,62";"47,46";"46,16";"6,38";"2,94";"3,44"
"João Ramalho (SP)";"Total";"Total";"100,00";"49,78";"50,22";"90,98";"45,31";"45,66";"9,02";"4,47";"4,55"
"José Bonifácio (SP)";"Total";"Total";"100,00";"48,92";"51,08";"95,96";"47,08";"48,87";"4,04";"1,83";"2,21"
"Júlio Mesquita (SP)";"Total";"Total";"100,00";"48,17";"51,83";"93,80";"45,72";"48,09";"6,20";"2,46";"3,74"
"Jumirim (SP)";"Total";"Total";"100,00";"49,61";"50,39";"96,27";"47,97";"48,30";"3,73";"1,64";"2,09"
"Jundiaí (SP)";"Total";"Total";"100,00";"47,65";"52,35";"97,98";"46,80";"51,18";"2,02";"0,85";"1,17"
"Junqueirópolis (SP)";"Total";"Total";"100,00";"52,34";"47,66";"95,28";"50,43";"44,85";"4,72";"1,91";"2,81"
"Juquiá (SP)";"Total";"Total";"100,00";"49,44";"50,56";"93,08";"46,08";"47,00";"6,92";"3,36";"3,56"
"Juquitiba (SP)";"Total";"Total";"100,00";"50,16";"49,84";"92,18";"46,34";"45,85";"7,82";"3,83";"3,99"
"Lagoinha (SP)";"Total";"Total";"100,00";"50,80";"49,20";"93,87";"47,88";"45,98";"6,13";"2,92";"3,22"
"Laranjal Paulista (SP)";"Total";"Total";"100,00";"48,43";"51,57";"96,60";"46,81";"49,79";"3,40";"1,62";"1,78"
"Lavínia (SP)";"Total";"Total";"100,00";"76,09";"23,91";"96,52";"74,13";"22,39";"3,48";"1,97";"1,52"
"Lavrinhas (SP)";"Total";"Total";"100,00";"49,40";"50,60";"95,69";"47,29";"48,40";"4,31";"2,11";"2,20"
"Leme (SP)";"Total";"Total";"100,00";"48,53";"51,47";"95,38";"46,26";"49,12";"4,62";"2,27";"2,34"
"Lençóis Paulista (SP)";"Total";"Total";"100,00";"48,95";"51,05";"96,56";"47,50";"49,06";"3,44";"1,45";"1,99"
"Limeira (SP)";"Total";"Total";"100,00";"48,27";"51,73";"97,20";"47,08";"50,12";"2,80";"1,19";"1,61"
"Lindóia (SP)";"Total";"Total";"100,00";"48,51";"51,49";"96,52";"47,02";"49,50";"3,48";"1,49";"1,99"
"Lins (SP)";"Total";"Total";"100,00";"47,29";"52,71";"97,01";"46,01";"51,00";"2,99";"1,28";"1,71"
"Lorena (SP)";"Total";"Total";"100,00";"47,18";"52,82";"97,24";"45,95";"51,29";"2,76";"1,23";"1,53"
"Lourdes (SP)";"Total";"Total";"100,00";"49,20";"50,80";"89,82";"44,05";"45,77";"10,18";"5,15";"5,03"
"Louveira (SP)";"Total";"Total";"100,00";"49,28";"50,72";"96,53";"47,74";"48,79";"3,47";"1,53";"1,93"
"Lucélia (SP)";"Total";"Total";"100,00";"56,27";"43,73";"95,01";"53,63";"41,37";"4,99";"2,64";"2,35"
"Lucianópolis (SP)";"Total";"Total";"100,00";"50,25";"49,75";"93,24";"46,44";"46,80";"6,76";"3,81";"2,95"
"Luís Antônio (SP)";"Total";"Total";"100,00";"49,70";"50,30";"95,66";"47,57";"48,09";"4,34";"2,14";"2,21"
"Luiziânia (SP)";"Total";"Total";"100,00";"48,92";"51,08";"92,51";"45,58";"46,93";"7,49";"3,35";"4,15"
"Lupércio (SP)";"Total";"Total";"100,00";"48,09";"51,91";"91,68";"44,49";"47,18";"8,32";"3,60";"4,72"
"Lutécia (SP)";"Total";"Total";"100,00";"49,14";"50,86";"93,78";"45,84";"47,93";"6,22";"3,30";"2,93"
"Macatuba (SP)";"Total";"Total";"100,00";"49,02";"50,98";"94,94";"47,06";"47,88";"5,06";"1,96";"3,10"
"Macaubal (SP)";"Total";"Total";"100,00";"49,34";"50,66";"94,62";"46,79";"47,83";"5,38";"2,55";"2,83"
"Macedônia (SP)";"Total";"Total";"100,00";"48,24";"51,76";"93,59";"45,02";"48,57";"6,41";"3,22";"3,19"
"Magda (SP)";"Total";"Total";"100,00";"49,08";"50,92";"94,16";"46,61";"47,55";"5,84";"2,47";"3,37"
"Mairinque (SP)";"Total";"Total";"100,00";"49,90";"50,10";"96,15";"48,16";"47,99";"3,85";"1,74";"2,11"
"Mairiporã (SP)";"Total";"Total";"100,00";"49,26";"50,74";"95,82";"47,21";"48,61";"4,18";"2,04";"2,14"
"Manduri (SP)";"Total";"Total";"100,00";"49,36";"50,64";"95,21";"47,47";"47,73";"4,79";"1,89";"2,90"
"Marabá Paulista (SP)";"Total";"Total";"100,00";"63,84";"36,16";"93,58";"60,42";"33,16";"6,42";"3,43";"2,99"
"Maracaí (SP)";"Total";"Total";"100,00";"49,07";"50,93";"94,84";"46,83";"48,01";"5,16";"2,24";"2,92"
"Marapoama (SP)";"Total";"Total";"100,00";"50,07";"49,93";"94,90";"47,73";"47,18";"5,10";"2,35";"2,75"
"Mariápolis (SP)";"Total";"Total";"100,00";"49,66";"50,34";"94,75";"47,53";"47,22";"5,25";"2,13";"3,12"
"Marília (SP)";"Total";"Total";"100,00";"47,27";"52,73";"97,37";"46,21";"51,17";"2,63";"1,07";"1,56"
"Marinópolis (SP)";"Total";"Total";"100,00";"50,09";"49,91";"89,71";"44,79";"44,92";"10,29";"5,30";"4,99"
"Martinópolis (SP)";"Total";"Total";"100,00";"51,54";"48,46";"94,09";"48,47";"45,62";"5,91";"3,08";"2,83"
"Matão (SP)";"Total";"Total";"100,00";"48,47";"51,53";"96,26";"46,91";"49,35";"3,74";"1,55";"2,19"
"Mauá (SP)";"Total";"Total";"100,00";"47,59";"52,41";"96,74";"46,23";"50,51";"3,26";"1,36";"1,90"
"Mendonça (SP)";"Total";"Total";"100,00";"49,96";"50,04";"94,81";"47,29";"47,53";"5,19";"2,67";"2,51"
"Meridiano (SP)";"Total";"Total";"100,00";"49,16";"50,84";"94,34";"46,45";"47,89";"5,66";"2,71";"2,95"
"Mesópolis (SP)";"Total";"Total";"100,00";"50,69";"49,31";"88,97";"44,89";"44,07";"11,03";"5,80";"5,23"
"Miguelópolis (SP)";"Total";"Total";"100,00";"48,84";"51,16";"92,55";"45,01";"47,54";"7,45";"3,83";"3,63"
"Mineiros do Tietê (SP)";"Total";"Total";"100,00";"49,34";"50,66";"94,11";"46,84";"47,27";"5,89";"2,51";"3,39"
"Miracatu (SP)";"Total";"Total";"100,00";"49,71";"50,29";"92,09";"45,62";"46,48";"7,91";"4,09";"3,81"
"Mira Estrela (SP)";"Total";"Total";"100,00";"49,23";"50,77";"94,57";"46,67";"47,90";"5,43";"2,56";"2,87"
"Mirandópolis (SP)";"Total";"Total";"100,00";"57,70";"42,30";"95,27";"55,44";"39,83";"4,73";"2,26";"2,47"
"Mirante do Paranapanema (SP)";"Total";"Total";"100,00";"49,57";"50,43";"91,74";"45,47";"46,27";"8,26";"4,11";"4,16"
"Mirassol (SP)";"Total";"Total";"100,00";"48,13";"51,87";"97,18";"47,02";"50,16";"2,82";"1,11";"1,71"
"Mirassolândia (SP)";"Total";"Total";"100,00";"50,47";"49,53";"95,30";"48,21";"47,08";"4,70";"2,26";"2,44"
"Mococa (SP)";"Total";"Total";"100,00";"48,84";"51,16";"96,42";"47,22";"49,20";"3,58";"1,61";"1,96"
"Mogi das Cruzes (SP)";"Total";"Total";"100,00";"47,41";"52,59";"97,07";"46,11";"50,96";"2,93";"1,30";"1,63"
"Mogi Guaçu (SP)";"Total";"Total";"100,00";"48,20";"51,80";"97,19";"47,00";"50,19";"2,81";"1,20";"1,61"
"Mogi Mirim (SP)";"Total";"Total";"100,00";"48,16";"51,84";"96,95";"46,75";"50,20";"3,05";"1,42";"1,63"
"Mombuca (SP)";"Total";"Total";"100,00";"48,89";"51,11";"92,93";"45,98";"46,95";"7,07";"2,91";"4,16"
"Monções (SP)";"Total";"Total";"100,00";"48,95";"51,05";"94,22";"46,56";"47,66";"5,78";"2,40";"3,38"
"Mongaguá (SP)";"Total";"Total";"100,00";"50,67";"49,33";"96,17";"48,67";"47,50";"3,83";"2,00";"1,83"
"Monte Alegre do Sul (SP)";"Total";"Total";"100,00";"49,20";"50,80";"95,79";"47,19";"48,60";"4,21";"2,01";"2,20"
"Monte Alto (SP)";"Total";"Total";"100,00";"48,48";"51,52";"96,69";"47,17";"49,52";"3,31";"1,30";"2,01"
"Monte Aprazível (SP)";"Total";"Total";"100,00";"48,09";"51,91";"96,21";"46,38";"49,84";"3,79";"1,71";"2,08"
"Monte Azul Paulista (SP)";"Total";"Total";"100,00";"49,43";"50,57";"95,20";"47,18";"48,02";"4,80";"2,25";"2,55"
"Monte Castelo (SP)";"Total";"Total";"100,00";"48,81";"51,19";"92,54";"45,67";"46,88";"7,46";"3,14";"4,32"
"Monteiro Lobato (SP)";"Total";"Total";"100,00";"50,24";"49,76";"91,90";"45,80";"46,10";"8,10";"4,44";"3,66"
"Monte Mor (SP)";"Total";"Total";"100,00";"48,86";"51,14";"95,58";"46,84";"48,73";"4,42";"2,02";"2,41"
"Morro Agudo (SP)";"Total";"Total";"100,00";"48,83";"51,17";"94,85";"46,24";"48,61";"5,15";"2,58";"2,57"
"Morungaba (SP)";"Total";"Total";"100,00";"48,83";"51,17";"96,36";"47,05";"49,31";"3,64";"1,77";"1,86"
"Motuca (SP)";"Total";"Total";"100,00";"49,85";"50,15";"93,00";"46,27";"46,73";"7,00";"3,57";"3,42"
"Murutinga do Sul (SP)";"Total";"Total";"100,00";"48,82";"51,18";"94,34";"46,47";"47,88";"5,66";"2,36";"3,30"
"Nantes (SP)";"Total";"Total";"100,00";"48,82";"51,18";"92,51";"45,50";"47,01";"7,49";"3,32";"4,17"
"Narandiba (SP)";"Total";"Total";"100,00";"49,39";"50,61";"93,90";"46,39";"47,50";"6,10";"2,99";"3,11"
"Natividade da Serra (SP)";"Total";"Total";"100,00";"52,03";"47,97";"89,40";"46,46";"42,94";"10,60";"5,57";"5,03"
"Nazaré Paulista (SP)";"Total";"Total";"100,00";"50,51";"49,49";"92,91";"47,34";"45,56";"7,09";"3,16";"3,93"
"Neves Paulista (SP)";"Total";"Total";"100,00";"49,33";"50,67";"95,08";"47,26";"47,82";"4,92";"2,07";"2,85"
"Nhandeara (SP)";"Total";"Total";"100,00";"47,61";"52,39";"94,40";"45,53";"48,88";"5,60";"2,08";"3,52"
"Nipoã (SP)";"Total";"Total";"100,00";"51,03";"48,97";"92,91";"47,72";"45,19";"7,09";"3,31";"3,78"
"Nova Aliança (SP)";"Total";"Total";"100,00";"48,83";"51,17";"95,40";"46,97";"48,43";"4,60";"1,86";"2,74"
"Nova Campina (SP)";"Total";"Total";"100,00";"49,77";"50,23";"92,23";"46,05";"46,17";"7,77";"3,72";"4,05"
"Nova Canaã Paulista (SP)";"Total";"Total";"100,00";"49,58";"50,42";"94,22";"47,08";"47,14";"5,78";"2,49";"3,29"
"Nova Castilho (SP)";"Total";"Total";"100,00";"49,18";"50,82";"95,90";"47,42";"48,48";"4,10";"1,76";"2,34"
"Nova Europa (SP)";"Total";"Total";"100,00";"49,61";"50,39";"94,53";"46,90";"47,63";"5,47";"2,72";"2,76"
"Nova Granada (SP)";"Total";"Total";"100,00";"48,90";"51,10";"94,67";"46,23";"48,44";"5,33";"2,67";"2,66"
"Nova Guataporanga (SP)";"Total";"Total";"100,00";"48,40";"51,60";"89,96";"44,20";"45,77";"10,04";"4,21";"5,83"
"Nova Independência (SP)";"Total";"Total";"100,00";"56,68";"43,32";"96,12";"54,83";"41,29";"3,88";"1,85";"2,03"
"Novais (SP)";"Total";"Total";"100,00";"50,23";"49,77";"94,59";"47,21";"47,38";"5,41";"3,02";"2,39"
"Nova Luzitânia (SP)";"Total";"Total";"100,00";"50,38";"49,62";"93,87";"47,72";"46,15";"6,13";"2,66";"3,47"
"Nova Odessa (SP)";"Total";"Total";"100,00";"48,45";"51,55";"97,87";"47,57";"50,30";"2,13";"0,88";"1,25"
"Novo Horizonte (SP)";"Total";"Total";"100,00";"48,86";"51,14";"94,66";"46,39";"48,26";"5,34";"2,47";"2,88"
"Nuporanga (SP)";"Total";"Total";"100,00";"48,89";"51,11";"95,47";"46,74";"48,73";"4,53";"2,15";"2,38"
"Ocauçu (SP)";"Total";"Total";"100,00";"50,74";"49,26";"93,72";"47,77";"45,95";"6,28";"2,97";"3,32"
"Óleo (SP)";"Total";"Total";"100,00";"50,34";"49,66";"94,90";"48,32";"46,59";"5,10";"2,02";"3,08"
"Olímpia (SP)";"Total";"Total";"100,00";"47,99";"52,01";"96,55";"46,34";"50,21";"3,45";"1,66";"1,80"
"Onda Verde (SP)";"Total";"Total";"100,00";"49,53";"50,47";"94,29";"46,61";"47,68";"5,71";"2,92";"2,79"
"Oriente (SP)";"Total";"Total";"100,00";"47,99";"52,01";"95,81";"46,47";"49,34";"4,19";"1,52";"2,67"
"Orindiúva (SP)";"Total";"Total";"100,00";"49,82";"50,18";"93,96";"46,97";"46,99";"6,04";"2,85";"3,18"
"Orlândia (SP)";"Total";"Total";"100,00";"47,58";"52,42";"96,45";"46,15";"50,31";"3,55";"1,43";"2,12"
"Osasco (SP)";"Total";"Total";"100,00";"46,77";"53,23";"97,19";"45,57";"51,62";"2,81";"1,20";"1,60"
"Oscar Bressane (SP)";"Total";"Total";"100,00";"46,85";"53,15";"94,17";"44,34";"49,83";"5,83";"2,50";"3,32"
"Osvaldo Cruz (SP)";"Total";"Total";"100,00";"49,70";"50,30";"96,30";"48,34";"47,96";"3,70";"1,36";"2,34"
"Ourinhos (SP)";"Total";"Total";"100,00";"47,03";"52,97";"96,76";"45,82";"50,94";"3,24";"1,21";"2,03"
"Ouroeste (SP)";"Total";"Total";"100,00";"48,75";"51,25";"94,47";"46,20";"48,27";"5,53";"2,55";"2,98"
"Ouro Verde (SP)";"Total";"Total";"100,00";"48,21";"51,79";"91,79";"44,63";"47,16";"8,21";"3,57";"4,63"
"Pacaembu (SP)";"Total";"Total";"100,00";"67,78";"32,22";"95,09";"64,84";"30,24";"4,91";"2,93";"1,98"
"Palestina (SP)";"Total";"Total";"100,00";"49,80";"50,20";"93,53";"46,90";"46,63";"6,47";"2,91";"3,57"
"Palmares Paulista (SP)";"Total";"Total";"100,00";"50,32";"49,68";"93,13";"46,99";"46,13";"6,87";"3,33";"3,55"
"Palmeira d'Oeste (SP)";"Total";"Total";"100,00";"49,50";"50,50";"93,94";"46,74";"47,20";"6,06";"2,76";"3,30"
"Palmital (SP)";"Total";"Total";"100,00";"48,00";"52,00";"96,00";"46,36";"49,63";"4,00";"1,63";"2,37"
"Panorama (SP)";"Total";"Total";"100,00";"49,21";"50,79";"93,33";"45,89";"47,44";"6,67";"3,33";"3,34"
"Paraguaçu Paulista (SP)";"Total";"Total";"100,00";"49,66";"50,34";"95,39";"47,59";"47,80";"4,61";"2,07";"2,54"
"Paraibuna (SP)";"Total";"Total";"100,00";"50,18";"49,82";"93,34";"46,99";"46,36";"6,66";"3,20";"3,46"
"Paraíso (SP)";"Total";"Total";"100,00";"49,95";"50,05";"94,06";"47,34";"46,73";"5,94";"2,61";"3,32"
"Paranapanema (SP)";"Total";"Total";"100,00";"50,53";"49,47";"94,31";"48,08";"46,23";"5,69";"2,44";"3,25"
"Paranapuã (SP)";"Total";"Total";"100,00";"50,11";"49,89";"93,23";"46,86";"46,37";"6,77";"3,25";"3,52"
"Parapuã (SP)";"Total";"Total";"100,00";"48,96";"51,04";"93,28";"46,15";"47,13";"6,72";"2,81";"3,91"
"Pardinho (SP)";"Total";"Total";"100,00";"50,93";"49,07";"94,75";"48,44";"46,31";"5,25";"2,48";"2,76"
"Pariquera-Açu (SP)";"Total";"Total";"100,00";"49,13";"50,87";"95,07";"46,87";"48,20";"4,93";"2,26";"2,67"
"Parisi (SP)";"Total";"Total";"100,00";"48,78";"51,22";"93,28";"45,00";"48,28";"6,72";"3,78";"2,94"
"Patrocínio Paulista (SP)";"Total";"Total";"100,00";"50,12";"49,88";"95,84";"48,04";"47,80";"4,16";"2,08";"2,08"
"Paulicéia (SP)";"Total";"Total";"100,00";"50,25";"49,75";"94,79";"47,86";"46,93";"5,21";"2,39";"2,82"
"Paulínia (SP)";"Total";"Total";"100,00";"47,91";"52,09";"97,81";"47,01";"50,81";"2,19";"0,91";"1,28"
"Paulistânia (SP)";"Total";"Total";"100,00";"50,56";"49,44";"92,40";"46,67";"45,73";"7,60";"3,89";"3,71"
"Paulo de Faria (SP)";"Total";"Total";"100,00";"50,31";"49,69";"92,76";"46,40";"46,37";"7,24";"3,91";"3,33"
"Pederneiras (SP)";"Total";"Total";"100,00";"49,28";"50,72";"95,39";"47,18";"48,21";"4,61";"2,09";"2,51"
"Pedra Bela (SP)";"Total";"Total";"100,00";"51,91";"48,09";"92,72";"48,51";"44,21";"7,28";"3,39";"3,89"
"Pedranópolis (SP)";"Total";"Total";"100,00";"49,64";"50,36";"94,25";"47,40";"46,85";"5,75";"2,24";"3,51"
"Pedregulho (SP)";"Total";"Total";"100,00";"49,77";"50,23";"94,00";"46,74";"47,25";"6,00";"3,03";"2,97"
"Pedreira (SP)";"Total";"Total";"100,00";"48,63";"51,37";"96,74";"47,23";"49,51";"3,26";"1,39";"1,87"
"Pedrinhas Paulista (SP)";"Total";"Total";"100,00";"48,80";"51,20";"95,07";"46,48";"48,59";"4,93";"2,32";"2,61"
"Pedro de Toledo (SP)";"Total";"Total";"100,00";"50,41";"49,59";"92,67";"46,57";"46,10";"7,33";"3,83";"3,50"
"Penápolis (SP)";"Total";"Total";"100,00";"47,63";"52,37";"96,81";"46,17";"50,64";"3,19";"1,46";"1,72"
"Pereira Barreto (SP)";"Total";"Total";"100,00";"47,86";"52,14";"94,57";"45,62";"48,95";"5,43";"2,24";"3,19"
"Pereiras (SP)";"Total";"Total";"100,00";"49,84";"50,16";"95,24";"47,31";"47,93";"4,76";"2,54";"2,22"
"Peruíbe (SP)";"Total";"Total";"100,00";"47,59";"52,41";"95,99";"45,69";"50,30";"4,01";"1,90";"2,11"
"Piacatu (SP)";"Total";"Total";"100,00";"49,50";"50,50";"92,93";"46,46";"46,46";"7,07";"3,03";"4,04"
"Piedade (SP)";"Total";"Total";"100,00";"50,00";"50,00";"95,42";"48,02";"47,40";"4,58";"1,98";"2,60"
"Pilar do Sul (SP)";"Total";"Total";"100,00";"50,06";"49,94";"94,89";"47,70";"47,19";"5,11";"2,36";"2,75"
"Pindamonhangaba (SP)";"Total";"Total";"100,00";"47,91";"52,09";"97,42";"46,74";"50,68";"2,58";"1,17";"1,41"
"Pindorama (SP)";"Total";"Total";"100,00";"49,34";"50,66";"95,00";"47,43";"47,57";"5,00";"1,91";"3,09"
"Pinhalzinho (SP)";"Total";"Total";"100,00";"49,72";"50,28";"96,20";"48,02";"48,18";"3,80";"1,70";"2,11"
"Piquerobi (SP)";"Total";"Total";"100,00";"47,32";"52,68";"92,15";"43,67";"48,48";"7,85";"3,65";"4,20"
"Piquete (SP)";"Total";"Total";"100,00";"47,00";"53,00";"96,71";"45,50";"51,20";"3,29";"1,50";"1,79"
"Piracaia (SP)";"Total";"Total";"100,00";"48,56";"51,44";"94,53";"46,09";"48,45";"5,47";"2,48";"2,99"
"Piracicaba (SP)";"Total";"Total";"100,00";"47,76";"52,24";"97,62";"46,68";"50,94";"2,38";"1,08";"1,29"
"Piraju (SP)";"Total";"Total";"100,00";"47,82";"52,18";"96,70";"46,51";"50,18";"3,30";"1,30";"2,00"
"Pirajuí (SP)";"Total";"Total";"100,00";"52,45";"47,55";"94,79";"50,06";"44,73";"5,21";"2,40";"2,81"
"Pirangi (SP)";"Total";"Total";"100,00";"49,53";"50,47";"94,89";"47,24";"47,65";"5,11";"2,29";"2,82"
"Pirapora do Bom Jesus (SP)";"Total";"Total";"100,00";"49,01";"50,99";"95,39";"46,81";"48,58";"4,61";"2,20";"2,42"
"Pirapozinho (SP)";"Total";"Total";"100,00";"48,02";"51,98";"95,60";"46,14";"49,46";"4,40";"1,88";"2,52"
"Pirassununga (SP)";"Total";"Total";"100,00";"47,43";"52,57";"96,92";"45,97";"50,95";"3,08";"1,46";"1,62"
"Piratininga (SP)";"Total";"Total";"100,00";"48,12";"51,88";"96,52";"46,62";"49,90";"3,48";"1,50";"1,98"
"Pitangueiras (SP)";"Total";"Total";"100,00";"49,62";"50,38";"94,49";"47,09";"47,40";"5,51";"2,54";"2,97"
"Planalto (SP)";"Total";"Total";"100,00";"49,44";"50,56";"92,08";"45,37";"46,71";"7,92";"4,07";"3,85"
"Platina (SP)";"Total";"Total";"100,00";"50,66";"49,34";"93,45";"47,47";"45,98";"6,55";"3,19";"3,36"
"Poá (SP)";"Total";"Total";"100,00";"47,15";"52,85";"97,35";"46,06";"51,29";"2,65";"1,08";"1,56"
"Poloni (SP)";"Total";"Total";"100,00";"48,88";"51,12";"93,71";"45,80";"47,91";"6,29";"3,08";"3,21"
"Pompéia (SP)";"Total";"Total";"100,00";"48,63";"51,37";"96,42";"47,24";"49,19";"3,58";"1,40";"2,18"
"Pongaí (SP)";"Total";"Total";"100,00";"50,71";"49,29";"95,23";"48,94";"46,30";"4,77";"1,77";"2,99"
"Pontal (SP)";"Total";"Total";"100,00";"50,05";"49,95";"94,14";"47,27";"46,87";"5,86";"2,78";"3,08"
"Pontalinda (SP)";"Total";"Total";"100,00";"52,74";"47,26";"89,36";"47,05";"42,30";"10,64";"5,68";"4,96"
"Pontes Gestal (SP)";"Total";"Total";"100,00";"49,02";"50,98";"91,58";"45,74";"45,84";"8,42";"3,29";"5,13"
"Populina (SP)";"Total";"Total";"100,00";"49,17";"50,83";"91,74";"45,28";"46,45";"8,26";"3,88";"4,38"
"Porangaba (SP)";"Total";"Total";"100,00";"51,01";"48,99";"94,67";"48,15";"46,52";"5,33";"2,87";"2,46"
"Porto Feliz (SP)";"Total";"Total";"100,00";"50,85";"49,15";"96,45";"49,17";"47,28";"3,55";"1,68";"1,87"
"Porto Ferreira (SP)";"Total";"Total";"100,00";"48,09";"51,91";"96,16";"46,34";"49,81";"3,84";"1,75";"2,09"
"Potim (SP)";"Total";"Total";"100,00";"57,55";"42,45";"95,25";"54,38";"40,86";"4,75";"3,17";"1,59"
"Potirendaba (SP)";"Total";"Total";"100,00";"49,05";"50,95";"95,63";"46,93";"48,70";"4,37";"2,12";"2,25"
"Pracinha (SP)";"Total";"Total";"100,00";"74,05";"25,95";"95,97";"71,86";"24,11";"4,03";"2,18";"1,84"
"Pradópolis (SP)";"Total";"Total";"100,00";"49,01";"50,99";"94,30";"46,62";"47,68";"5,70";"2,38";"3,32"
"Praia Grande (SP)";"Total";"Total";"100,00";"46,64";"53,36";"97,30";"45,36";"51,94";"2,70";"1,28";"1,42"
"Pratânia (SP)";"Total";"Total";"100,00";"49,96";"50,04";"91,48";"45,36";"46,12";"8,52";"4,61";"3,91"
"Presidente Alves (SP)";"Total";"Total";"100,00";"48,95";"51,05";"93,86";"46,32";"47,54";"6,14";"2,64";"3,51"
"Presidente Bernardes (SP)";"Total";"Total";"100,00";"56,74";"43,26";"95,48";"54,48";"41,00";"4,52";"2,26";"2,26"
"Presidente Epitácio (SP)";"Total";"Total";"100,00";"47,58";"52,42";"95,16";"45,35";"49,81";"4,84";"2,23";"2,61"
"Presidente Prudente (SP)";"Total";"Total";"100,00";"47,07";"52,93";"97,54";"46,04";"51,51";"2,46";"1,03";"1,42"
"Presidente Venceslau (SP)";"Total";"Total";"100,00";"47,87";"52,13";"95,29";"45,88";"49,40";"4,71";"1,98";"2,73"
"Promissão (SP)";"Total";"Total";"100,00";"48,52";"51,48";"96,37";"46,87";"49,51";"3,63";"1,66";"1,97"
"Quadra (SP)";"Total";"Total";"100,00";"51,01";"48,99";"94,35";"48,22";"46,12";"5,65";"2,79";"2,86"
"Quatá (SP)";"Total";"Total";"100,00";"49,22";"50,78";"93,00";"46,12";"46,88";"7,00";"3,10";"3,90"
"Queiroz (SP)";"Total";"Total";"100,00";"50,10";"49,90";"92,98";"46,64";"46,33";"7,02";"3,45";"3,57"
"Queluz (SP)";"Total";"Total";"100,00";"48,91";"51,09";"95,38";"46,53";"48,85";"4,62";"2,38";"2,24"
"Quintana (SP)";"Total";"Total";"100,00";"49,22";"50,78";"94,62";"46,88";"47,74";"5,38";"2,34";"3,03"
"Rafard (SP)";"Total";"Total";"100,00";"48,58";"51,42";"95,72";"46,60";"49,12";"4,28";"1,98";"2,30"
"Rancharia (SP)";"Total";"Total";"100,00";"47,71";"52,29";"95,09";"45,69";"49,40";"4,91";"2,03";"2,88"
"Redenção da Serra (SP)";"Total";"Total";"100,00";"52,57";"47,43";"92,09";"48,43";"43,65";"7,91";"4,13";"3,78"
