"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Município","Sexo","Cor ou raça","Ano x Nível de instrução x Grupo de idade"
"Município","Sexo","Cor ou raça","2022"
"Município","Sexo","Cor ou raça","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo"
"Município","Sexo","Cor ou raça","Total","Total","Total","Total","Total"
"Penápolis (SP)","Homens","Total","47.58","14.26","8.72","17.33","7.27"
"Penápolis (SP)","Mulheres","Total","52.42","14.71","8.01","18.57","11.13"
"Pereira Barreto (SP)","Total","Total","100.00","32.27","15.19","32.93","19.61"
"Pereira Barreto (SP)","Homens","Total","47.98","16.62","7.42","16.68","7.26"
"Pereira Barreto (SP)","Mulheres","Total","52.02","15.65","7.77","16.25","12.35"
"Pereiras (SP)","Total","Total","100.00","34.03","17.59","36.21","12.18"
"Pereiras (SP)","Homens","Total","49.98","17.09","10.00","18.02","4.89"
"Pereiras (SP)","Mulheres","Total","50.02","16.94","7.60","18.19","7.29"
"Peruíbe (SP)","Total","Total","100.00","29.40","17.22","37.14","16.24"
"Peruíbe (SP)","Homens","Total","47.40","14.75","8.04","18.09","6.52"
"Peruíbe (SP)","Mulheres","Total","52.60","14.65","9.18","19.04","9.73"
"Piacatu (SP)","Total","Total","100.00","40.66","11.85","32.10","15.36"
"Piacatu (SP)","Homens","Total","49.40","19.58","6.07","18.01","5.72"
"Piacatu (SP)","Mulheres","Total","50.60","21.06","5.79","14.09","9.64"
"Piedade (SP)","Total","Total","100.00","37.95","17.17","34.39","10.49"
"Piedade (SP)","Homens","Total","49.97","19.64","9.56","16.86","3.90"
"Piedade (SP)","Mulheres","Total","50.03","18.30","7.61","17.53","6.59"
"Pilar do Sul (SP)","Total","Total","100.00","38.03","15.52","32.80","13.66"
"Pilar do Sul (SP)","Homens","Total","50.15","19.87","8.22","16.66","5.40"
"Pilar do Sul (SP)","Mulheres","Total","49.85","18.16","7.30","16.14","8.25"
"Pindamonhangaba (SP)","Total","Total","100.00","20.83","14.95","44.72","19.50"
"Pindamonhangaba (SP)","Homens","Total","47.81","9.50","7.40","22.34","8.57"
"Pindamonhangaba (SP)","Mulheres","Total","52.19","11.33","7.55","22.38","10.93"
"Pindorama (SP)","Total","Total","100.00","35.24","14.02","36.01","14.74"
"Pindorama (SP)","Homens","Total","49.28","16.56","7.85","18.81","6.07"
"Pindorama (SP)","Mulheres","Total","50.72","18.68","6.17","17.20","8.67"
"Pinhalzinho (SP)","Total","Total","100.00","39.23","16.78","32.91","11.09"
"Pinhalzinho (SP)","Homens","Total","49.75","20.34","8.91","16.44","4.06"
"Pinhalzinho (SP)","Mulheres","Total","50.25","18.89","7.88","16.47","7.01"
"Piquerobi (SP)","Total","Total","100.00","42.08","12.68","35.13","10.12"
"Piquerobi (SP)","Homens","Total","47.35","20.12","7.25","17.64","2.33"
"Piquerobi (SP)","Mulheres","Total","52.65","21.95","5.46","17.49","7.79"
"Piquete (SP)","Total","Total","100.00","25.01","15.54","45.66","13.78"
"Piquete (SP)","Homens","Total","47.08","11.77","7.86","22.42","5.03"
"Piquete (SP)","Mulheres","Total","52.92","13.25","7.69","23.25","8.74"
"Piracaia (SP)","Total","Total","100.00","35.31","14.68","33.39","16.62"
"Piracaia (SP)","Homens","Total","48.63","17.03","7.15","17.51","6.94"
"Piracaia (SP)","Mulheres","Total","51.38","18.28","7.53","15.88","9.69"
"Piracicaba (SP)","Total","Total","100.00","22.10","14.36","41.42","22.12"
"Piracicaba (SP)","Homens","Total","47.51","10.08","7.08","20.42","9.93"
"Piracicaba (SP)","Mulheres","Total","52.49","12.01","7.28","21.01","12.19"
"Piraju (SP)","Total","Total","100.00","27.79","15.79","36.89","19.53"
"Piraju (SP)","Homens","Total","47.56","13.53","8.17","18.31","7.55"
"Piraju (SP)","Mulheres","Total","52.44","14.27","7.61","18.58","11.99"
"Pirajuí (SP)","Total","Total","100.00","34.47","13.63","38.97","12.93"
"Pirajuí (SP)","Homens","Total","52.53","19.12","8.45","19.98","4.97"
"Pirajuí (SP)","Mulheres","Total","47.47","15.35","5.19","18.98","7.95"
"Pirangi (SP)","Total","Total","100.00","39.40","11.57","34.92","14.11"
"Pirangi (SP)","Homens","Total","49.21","19.83","6.27","17.86","5.26"
"Pirangi (SP)","Mulheres","Total","50.78","19.56","5.31","17.06","8.86"
"Pirapora do Bom Jesus (SP)","Total","Total","100.00","31.61","13.40","44.59","10.40"
"Pirapora do Bom Jesus (SP)","Homens","Total","48.82","15.89","6.95","22.19","3.80"
"Pirapora do Bom Jesus (SP)","Mulheres","Total","51.18","15.72","6.46","22.41","6.60"
"Pirapozinho (SP)","Total","Total","100.00","28.65","14.35","41.65","15.36"
"Pirapozinho (SP)","Homens","Total","47.89","13.43","7.95","20.68","5.83"
"Pirapozinho (SP)","Mulheres","Total","52.11","15.22","6.39","20.97","9.53"
"Pirassununga (SP)","Total","Total","100.00","24.78","14.26","37.94","23.02"
"Pirassununga (SP)","Homens","Total","47.23","11.49","7.43","18.33","9.98"
"Pirassununga (SP)","Mulheres","Total","52.77","13.29","6.83","19.62","13.03"
"Piratininga (SP)","Total","Total","100.00","23.44","14.03","39.52","23.01"
"Piratininga (SP)","Homens","Total","47.99","12.06","7.60","18.96","9.37"
"Piratininga (SP)","Mulheres","Total","52.01","11.37","6.43","20.56","13.64"
"Pitangueiras (SP)","Total","Total","100.00","33.19","17.49","36.95","12.36"
"Pitangueiras (SP)","Homens","Total","49.55","16.46","9.98","18.46","4.65"
"Pitangueiras (SP)","Mulheres","Total","50.45","16.73","7.52","18.49","7.71"
"Planalto (SP)","Total","Total","100.00","41.43","14.33","35.14","9.10"
"Planalto (SP)","Homens","Total","49.32","22.02","7.51","16.87","2.93"
"Planalto (SP)","Mulheres","Total","50.68","19.41","6.83","18.26","6.18"
"Platina (SP)","Total","Total","100.00","40.13","11.48","41.83","6.57"
"Platina (SP)","Homens","Total","50.43","21.22","5.04","22.48","1.70"
"Platina (SP)","Mulheres","Total","49.57","18.87","6.43","19.35","4.87"
"Poá (SP)","Total","Total","100.00","20.15","14.82","49.07","15.96"
"Poá (SP)","Homens","Total","46.71","9.24","7.88","23.37","6.22"
"Poá (SP)","Mulheres","Total","53.29","10.91","6.94","25.70","9.74"
"Poloni (SP)","Total","Total","100.00","38.63","13.24","35.75","12.38"
"Poloni (SP)","Homens","Total","48.92","19.32","6.87","18.70","4.04"
"Poloni (SP)","Mulheres","Total","51.08","19.32","6.37","17.05","8.34"
"Pompéia (SP)","Total","Total","100.00","24.97","13.20","39.42","22.40"
"Pompéia (SP)","Homens","Total","48.15","11.68","7.41","19.30","9.76"
"Pompéia (SP)","Mulheres","Total","51.85","13.29","5.80","20.13","12.64"
"Pongaí (SP)","Total","Total","100.00","36.04","11.48","35.89","16.59"
"Pongaí (SP)","Homens","Total","51.29","17.24","7.14","20.39","6.56"
"Pongaí (SP)","Mulheres","Total","48.71","18.80","4.35","15.54","10.03"
"Pontal (SP)","Total","Total","100.00","36.62","17.08","36.61","9.69"
"Pontal (SP)","Homens","Total","50.32","19.23","9.66","17.80","3.62"
"Pontal (SP)","Mulheres","Total","49.68","17.39","7.42","18.81","6.07"
"Pontalinda (SP)","Total","Total","100.00","45.55","17.18","26.04","11.23"
"Pontalinda (SP)","Homens","Total","52.94","24.95","10.40","13.28","4.32"
"Pontalinda (SP)","Mulheres","Total","47.06","20.60","6.78","12.73","6.91"
"Pontes Gestal (SP)","Total","Total","100.00","36.47","14.94","34.61","13.93"
"Pontes Gestal (SP)","Homens","Total","48.91","18.77","7.55","17.12","5.48"
"Pontes Gestal (SP)","Mulheres","Total","51.09","17.76","7.44","17.44","8.45"
"Populina (SP)","Total","Total","100.00","44.76","13.39","26.75","15.07"
"Populina (SP)","Homens","Total","49.11","22.52","6.46","14.15","5.94"
"Populina (SP)","Mulheres","Total","50.89","22.24","6.92","12.59","9.13"
"Porangaba (SP)","Total","Total","100.00","40.97","16.55","30.43","12.04"
"Porangaba (SP)","Homens","Total","50.99","21.81","9.15","14.90","5.13"
"Porangaba (SP)","Mulheres","Total","49.01","19.16","7.39","15.54","6.91"
"Porto Feliz (SP)","Total","Total","100.00","28.07","16.17","43.28","12.48"
"Porto Feliz (SP)","Homens","Total","50.80","14.22","8.74","22.43","5.40"
"Porto Feliz (SP)","Mulheres","Total","49.20","13.85","7.43","20.85","7.07"
"Porto Ferreira (SP)","Total","Total","100.00","30.66","17.92","36.02","15.40"
"Porto Ferreira (SP)","Homens","Total","47.87","14.97","9.05","17.00","6.85"
"Porto Ferreira (SP)","Mulheres","Total","52.13","15.69","8.87","19.01","8.55"
"Potim (SP)","Total","Total","100.00","35.93","24.37","33.96","5.74"
"Potim (SP)","Homens","Total","58.10","20.76","16.27","18.86","2.20"
"Potim (SP)","Mulheres","Total","41.90","15.18","8.09","15.10","3.54"
"Potirendaba (SP)","Total","Total","100.00","35.05","16.68","34.96","13.31"
"Potirendaba (SP)","Homens","Total","49.18","17.50","8.94","17.59","5.16"
"Potirendaba (SP)","Mulheres","Total","50.82","17.54","7.75","17.38","8.16"
"Pracinha (SP)","Total","Total","100.00","49.98","21.68","22.86","5.53"
"Pracinha (SP)","Homens","Total","74.95","41.11","18.17","14.04","1.62"
"Pracinha (SP)","Mulheres","Total","25.05","8.82","3.51","8.78","3.91"
"Pradópolis (SP)","Total","Total","100.00","36.03","14.12","35.82","14.03"
"Pradópolis (SP)","Homens","Total","48.43","15.90","7.82","19.00","5.70"
"Pradópolis (SP)","Mulheres","Total","51.57","20.13","6.29","16.82","8.33"
"Praia Grande (SP)","Total","Total","100.00","21.97","16.52","43.91","17.60"
"Praia Grande (SP)","Homens","Total","46.34","10.53","8.03","20.56","7.22"
"Praia Grande (SP)","Mulheres","Total","53.66","11.44","8.49","23.35","10.38"
"Pratânia (SP)","Total","Total","100.00","41.86","17.98","33.53","6.62"
"Pratânia (SP)","Homens","Total","49.90","21.94","9.76","16.23","1.94"
"Pratânia (SP)","Mulheres","Total","50.10","19.90","8.22","17.30","4.69"
"Presidente Alves (SP)","Total","Total","100.00","35.28","14.38","40.76","9.58"
"Presidente Alves (SP)","Homens","Total","48.79","17.07","8.10","20.46","3.13"
"Presidente Alves (SP)","Mulheres","Total","51.21","18.21","6.28","20.30","6.45"
"Presidente Bernardes (SP)","Total","Total","100.00","35.15","17.58","32.36","14.92"
"Presidente Bernardes (SP)","Homens","Total","56.69","21.88","12.55","16.84","5.43"
"Presidente Bernardes (SP)","Mulheres","Total","43.31","13.27","5.04","15.52","9.49"
"Presidente Epitácio (SP)","Total","Total","100.00","30.66","15.82","38.53","14.99"
"Presidente Epitácio (SP)","Homens","Total","47.08","14.57","7.78","18.93","5.81"
"Presidente Epitácio (SP)","Mulheres","Total","52.92","16.10","8.04","19.60","9.18"
"Presidente Prudente (SP)","Total","Total","100.00","22.09","15.07","38.27","24.57"
"Presidente Prudente (SP)","Homens","Total","46.85","10.35","7.49","18.63","10.37"
"Presidente Prudente (SP)","Mulheres","Total","53.15","11.74","7.58","19.64","14.19"
"Presidente Venceslau (SP)","Total","Total","100.00","30.86","13.75","36.25","19.15"
"Presidente Venceslau (SP)","Homens","Total","47.36","14.28","7.45","18.27","7.36"
"Presidente Venceslau (SP)","Mulheres","Total","52.65","16.58","6.30","17.98","11.78"
"Promissão (SP)","Total","Total","100.00","33.14","17.23","33.56","16.07"
"Promissão (SP)","Homens","Total","48.31","16.53","8.98","16.34","6.46"
"Promissão (SP)","Mulheres","Total","51.69","16.61","8.25","17.22","9.61"
"Quadra (SP)","Total","Total","100.00","42.09","16.90","30.28","10.74"
"Quadra (SP)","Homens","Total","50.96","22.21","8.26","17.51","2.98"
"Quadra (SP)","Mulheres","Total","49.04","19.92","8.64","12.77","7.76"
"Quatá (SP)","Total","Total","100.00","32.85","12.66","40.47","14.00"
"Quatá (SP)","Homens","Total","48.58","16.47","6.60","20.31","5.20"
"Quatá (SP)","Mulheres","Total","51.42","16.39","6.07","20.16","8.81"
"Queiroz (SP)","Total","Total","100.00","37.01","12.50","40.04","10.45"
"Queiroz (SP)","Homens","Total","50.08","19.26","7.01","20.57","3.28"
"Queiroz (SP)","Mulheres","Total","49.92","17.75","5.49","19.47","7.17"
"Queluz (SP)","Total","Total","100.00","35.01","12.68","41.86","10.44"
"Queluz (SP)","Homens","Total","48.31","17.69","6.29","20.95","3.37"
"Queluz (SP)","Mulheres","Total","51.69","17.31","6.39","20.91","7.07"
"Quintana (SP)","Total","Total","100.00","30.96","16.34","40.16","12.54"
"Quintana (SP)","Homens","Total","48.73","15.03","8.64","20.16","4.88"
"Quintana (SP)","Mulheres","Total","51.27","15.93","7.68","20.00","7.66"
"Rafard (SP)","Total","Total","100.00","37.31","14.62","34.23","13.84"
"Rafard (SP)","Homens","Total","48.38","17.44","7.11","18.46","5.38"
"Rafard (SP)","Mulheres","Total","51.62","19.87","7.53","15.78","8.46"
"Rancharia (SP)","Total","Total","100.00","30.00","13.74","40.71","15.54"
"Rancharia (SP)","Homens","Total","47.55","14.20","7.53","19.91","5.92"
"Rancharia (SP)","Mulheres","Total","52.45","15.81","6.21","20.80","9.63"
"Redenção da Serra (SP)","Total","Total","100.00","48.83","16.85","27.21","7.11"
"Redenção da Serra (SP)","Homens","Total","52.28","26.66","8.99","13.15","3.44"
"Redenção da Serra (SP)","Mulheres","Total","47.72","22.17","7.85","14.06","3.64"
"Regente Feijó (SP)","Total","Total","100.00","28.68","15.01","36.62","19.68"
"Regente Feijó (SP)","Homens","Total","48.05","14.08","7.89","18.64","7.44"
"Regente Feijó (SP)","Mulheres","Total","51.95","14.60","7.13","17.98","12.24"
"Reginópolis (SP)","Total","Total","100.00","38.06","26.14","27.11","8.68"
"Reginópolis (SP)","Homens","Total","64.56","24.87","21.27","15.81","2.60"
"Reginópolis (SP)","Mulheres","Total","35.43","13.19","4.87","11.30","6.07"
"Registro (SP)","Total","Total","100.00","30.72","16.40","37.22","15.65"
"Registro (SP)","Homens","Total","49.32","15.77","8.56","18.42","6.57"
"Registro (SP)","Mulheres","Total","50.68","14.96","7.84","18.80","9.09"
"Restinga (SP)","Total","Total","100.00","35.00","16.15","40.19","8.65"
"Restinga (SP)","Homens","Total","49.67","17.25","9.21","19.85","3.37"
"Restinga (SP)","Mulheres","Total","50.31","17.75","6.96","20.34","5.28"
"Ribeira (SP)","Total","Total","100.00","42.76","10.38","39.26","7.60"
"Ribeira (SP)","Homens","Total","49.98","20.98","5.02","21.49","2.49"
"Ribeira (SP)","Mulheres","Total","50.02","21.78","5.36","17.77","5.11"
"Ribeirão Bonito (SP)","Total","Total","100.00","35.63","14.97","36.16","13.22"
"Ribeirão Bonito (SP)","Homens","Total","49.65","17.78","7.59","19.19","5.09"
"Ribeirão Bonito (SP)","Mulheres","Total","50.35","17.86","7.38","16.97","8.13"
"Ribeirão Branco (SP)","Total","Total","100.00","48.05","18.10","28.91","4.93"
"Ribeirão Branco (SP)","Homens","Total","50.87","25.04","9.48","14.89","1.46"
"Ribeirão Branco (SP)","Mulheres","Total","49.12","23.00","8.63","14.02","3.47"
"Ribeirão Corrente (SP)","Total","Total","100.00","42.51","17.80","30.77","8.90"
"Ribeirão Corrente (SP)","Homens","Total","50.44","22.89","9.89","14.58","3.04"
"Ribeirão Corrente (SP)","Mulheres","Total","49.56","19.58","7.90","16.19","5.85"
"Ribeirão do Sul (SP)","Total","Total","100.00","39.88","13.83","29.48","16.84"
"Ribeirão do Sul (SP)","Homens","Total","49.73","20.30","7.93","14.48","6.98"
"Ribeirão do Sul (SP)","Mulheres","Total","50.27","19.55","5.90","15.00","9.85"
"Ribeirão dos Índios (SP)","Total","Total","100.00","43.23","13.12","34.89","8.83"
"Ribeirão dos Índios (SP)","Homens","Total","46.74","20.13","7.32","17.35","1.93"
"Ribeirão dos Índios (SP)","Mulheres","Total","53.26","23.10","5.74","17.53","6.89"
"Ribeirão Grande (SP)","Total","Total","100.00","41.48","15.63","36.17","6.71"
"Ribeirão Grande (SP)","Homens","Total","50.67","20.10","8.47","19.62","2.48"
"Ribeirão Grande (SP)","Mulheres","Total","49.33","21.38","7.16","16.56","4.23"
"Ribeirão Pires (SP)","Total","Total","100.00","21.28","12.49","46.66","19.57"
"Ribeirão Pires (SP)","Homens","Total","47.49","9.42","6.19","23.81","8.07"
"Ribeirão Pires (SP)","Mulheres","Total","52.51","11.86","6.30","22.85","11.50"
"Ribeirão Preto (SP)","Total","Total","100.00","20.16","15.82","38.16","25.87"
"Ribeirão Preto (SP)","Homens","Total","46.77","9.47","8.01","17.96","11.33"
"Ribeirão Preto (SP)","Mulheres","Total","53.23","10.69","7.80","20.20","14.54"
"Riversul (SP)","Total","Total","100.00","46.85","17.36","26.28","9.48"
"Riversul (SP)","Homens","Total","49.60","23.18","9.51","13.86","3.06"
"Riversul (SP)","Mulheres","Total","50.40","23.67","7.86","12.42","6.45"
"Rifaina (SP)","Total","Total","100.00","28.09","14.66","42.03","15.22"
"Rifaina (SP)","Homens","Total","50.44","13.75","8.60","22.32","5.78"
"Rifaina (SP)","Mulheres","Total","49.56","14.34","6.06","19.71","9.48"
"Rincão (SP)","Total","Total","100.00","38.43","11.23","39.75","10.61"
"Rincão (SP)","Homens","Total","49.36","18.11","6.90","20.35","4.01"
"Rincão (SP)","Mulheres","Total","50.65","20.32","4.33","19.40","6.60"
"Rinópolis (SP)","Total","Total","100.00","36.17","18.31","31.48","14.04"
"Rinópolis (SP)","Homens","Total","49.05","17.34","10.74","16.00","4.99"
"Rinópolis (SP)","Mulheres","Total","50.95","18.84","7.57","15.48","9.06"
"Rio Claro (SP)","Total","Total","100.00","21.95","13.69","42.31","22.05"
"Rio Claro (SP)","Homens","Total","47.50","9.70","6.93","21.05","9.82"
"Rio Claro (SP)","Mulheres","Total","52.50","12.25","6.76","21.26","12.23"
"Rio das Pedras (SP)","Total","Total","100.00","27.30","17.12","43.67","11.91"
"Rio das Pedras (SP)","Homens","Total","49.30","12.53","9.44","22.33","5.00"
"Rio das Pedras (SP)","Mulheres","Total","50.69","14.77","7.68","21.34","6.91"
"Rio Grande da Serra (SP)","Total","Total","100.00","24.47","14.43","50.73","10.38"
"Rio Grande da Serra (SP)","Homens","Total","47.45","10.99","7.54","24.00","4.93"
"Rio Grande da Serra (SP)","Mulheres","Total","52.55","13.48","6.89","26.73","5.45"
"Riolândia (SP)","Total","Total","100.00","59.20","12.29","22.40","6.11"
"Riolândia (SP)","Homens","Total","63.50","44.00","6.73","10.43","2.32"
"Riolândia (SP)","Mulheres","Total","36.50","15.18","5.57","11.96","3.79"
"Rosana (SP)","Total","Total","100.00","30.48","13.37","39.58","16.57"
"Rosana (SP)","Homens","Total","48.17","15.27","7.04","19.56","6.31"
"Rosana (SP)","Mulheres","Total","51.83","15.22","6.32","20.02","10.26"
"Roseira (SP)","Total","Total","100.00","27.80","16.54","39.82","15.84"
"Roseira (SP)","Homens","Total","48.14","14.00","8.31","20.25","5.58"
"Roseira (SP)","Mulheres","Total","51.86","13.79","8.23","19.56","10.26"
"Rubiácea (SP)","Total","Total","100.00","41.96","20.20","29.51","8.28"
"Rubiácea (SP)","Homens","Total","49.26","21.32","9.95","14.71","3.28"
"Rubiácea (SP)","Mulheres","Total","50.74","20.64","10.25","14.80","5.05"
"Rubinéia (SP)","Total","Total","100.00","38.43","14.23","33.79","13.55"
"Rubinéia (SP)","Homens","Total","49.05","20.72","6.78","16.84","4.71"
"Rubinéia (SP)","Mulheres","Total","50.95","17.75","7.45","16.91","8.84"
"Sabino (SP)","Total","Total","100.00","43.37","20.36","26.91","9.36"
"Sabino (SP)","Homens","Total","47.85","20.66","11.77","12.52","2.86"
"Sabino (SP)","Mulheres","Total","52.18","22.70","8.59","14.39","6.50"
"Sagres (SP)","Total","Total","100.00","38.28","12.95","39.28","9.48"
"Sagres (SP)","Homens","Total","48.71","18.75","6.95","19.38","3.63"
"Sagres (SP)","Mulheres","Total","51.29","19.59","6.00","19.91","5.79"
"Sales (SP)","Total","Total","100.00","39.18","17.12","31.75","11.95"
"Sales (SP)","Homens","Total","48.53","19.33","9.39","15.64","4.18"
"Sales (SP)","Mulheres","Total","51.47","19.86","7.73","16.11","7.77"
"Sales Oliveira (SP)","Total","Total","100.00","39.57","10.49","31.54","18.41"
"Sales Oliveira (SP)","Homens","Total","48.18","18.91","5.44","16.37","7.46"
"Sales Oliveira (SP)","Mulheres","Total","51.82","20.66","5.06","15.17","10.95"
"Salesópolis (SP)","Total","Total","100.00","37.22","14.89","35.97","11.93"
"Salesópolis (SP)","Homens","Total","49.44","19.08","8.67","17.44","4.26"
"Salesópolis (SP)","Mulheres","Total","50.56","18.13","6.22","18.54","7.67"
"Salmourão (SP)","Total","Total","100.00","51.78","13.73","27.04","7.44"
"Salmourão (SP)","Homens","Total","50.41","26.85","7.31","13.17","3.08"
"Salmourão (SP)","Mulheres","Total","49.59","24.93","6.40","13.87","4.36"
"Saltinho (SP)","Total","Total","100.00","29.13","25.18","33.86","11.82"
"Saltinho (SP)","Homens","Total","48.28","14.14","12.44","16.58","5.12"
"Saltinho (SP)","Mulheres","Total","51.72","15.01","12.75","17.26","6.70"
"Salto (SP)","Total","Total","100.00","22.99","14.34","43.16","19.51"
"Salto (SP)","Homens","Total","48.36","10.77","7.28","21.55","8.75"
"Salto (SP)","Mulheres","Total","51.64","12.22","7.06","21.60","10.76"
"Salto de Pirapora (SP)","Total","Total","100.00","31.56","14.85","41.81","11.78"
"Salto de Pirapora (SP)","Homens","Total","49.02","15.47","8.10","20.72","4.74"
"Salto de Pirapora (SP)","Mulheres","Total","50.98","16.09","6.75","21.10","7.03"
"Salto Grande (SP)","Total","Total","100.00","40.08","13.34","34.62","11.95"
"Salto Grande (SP)","Homens","Total","48.52","18.96","7.49","17.56","4.52"
"Salto Grande (SP)","Mulheres","Total","51.48","21.13","5.86","17.07","7.43"
"Sandovalina (SP)","Total","Total","100.00","34.97","10.97","42.69","11.37"
"Sandovalina (SP)","Homens","Total","49.85","19.31","6.24","21.23","3.06"
"Sandovalina (SP)","Mulheres","Total","50.15","15.66","4.76","21.42","8.31"
"Santa Adélia (SP)","Total","Total","100.00","37.61","12.94","35.58","13.87"
"Santa Adélia (SP)","Homens","Total","48.92","18.87","6.96","17.35","5.76"
"Santa Adélia (SP)","Mulheres","Total","51.07","18.74","5.97","18.23","8.12"
"Santa Albertina (SP)","Total","Total","100.00","42.66","13.63","27.88","15.81"
"Santa Albertina (SP)","Homens","Total","49.37","21.23","7.99","13.63","6.51"
"Santa Albertina (SP)","Mulheres","Total","50.63","21.45","5.64","14.25","9.32"
"Santa Bárbara d'Oeste (SP)","Total","Total","100.00","28.06","14.22","42.41","15.31"
"Santa Bárbara d'Oeste (SP)","Homens","Total","48.43","12.50","7.38","21.59","6.96"
"Santa Bárbara d'Oeste (SP)","Mulheres","Total","51.57","15.56","6.84","20.83","8.35"
"Santa Branca (SP)","Total","Total","100.00","31.83","15.29","39.75","13.13"
"Santa Branca (SP)","Homens","Total","49.36","16.16","8.51","19.36","5.33"
"Santa Branca (SP)","Mulheres","Total","50.64","15.68","6.78","20.38","7.81"
"Santa Clara d'Oeste (SP)","Total","Total","100.00","38.42","15.11","31.36","15.11"
"Santa Clara d'Oeste (SP)","Homens","Total","49.88","18.62","8.05","16.84","6.37"
"Santa Clara d'Oeste (SP)","Mulheres","Total","50.07","19.80","7.06","14.52","8.74"
"Santa Cruz da Conceição (SP)","Total","Total","100.00","29.11","15.56","36.70","18.62"
"Santa Cruz da Conceição (SP)","Homens","Total","48.77","14.38","8.71","17.36","8.31"
"Santa Cruz da Conceição (SP)","Mulheres","Total","51.23","14.73","6.85","19.34","10.32"
"Santa Cruz da Esperança (SP)","Total","Total","100.00","33.93","16.50","38.67","10.84"
"Santa Cruz da Esperança (SP)","Homens","Total","48.95","16.69","8.56","19.89","3.82"
"Santa Cruz da Esperança (SP)","Mulheres","Total","51.05","17.24","7.94","18.84","7.02"
"Santa Cruz das Palmeiras (SP)","Total","Total","100.00","37.60","17.77","31.59","13.04"
"Santa Cruz das Palmeiras (SP)","Homens","Total","48.96","19.38","8.60","15.74","5.22"
"Santa Cruz das Palmeiras (SP)","Mulheres","Total","51.04","18.22","9.17","15.84","7.81"
"Santa Cruz do Rio Pardo (SP)","Total","Total","100.00","30.26","14.93","36.14","18.66"
"Santa Cruz do Rio Pardo (SP)","Homens","Total","47.75","14.35","8.05","18.62","6.73"
"Santa Cruz do Rio Pardo (SP)","Mulheres","Total","52.25","15.91","6.88","17.52","11.93"
"Santa Ernestina (SP)","Total","Total","100.00","29.22","12.71","43.43","14.63"
"Santa Ernestina (SP)","Homens","Total","49.08","14.80","6.80","21.67","5.78"
"Santa Ernestina (SP)","Mulheres","Total","50.94","14.42","5.89","21.76","8.85"
"Santa Fé do Sul (SP)","Total","Total","100.00","27.83","12.30","35.87","24.01"
"Santa Fé do Sul (SP)","Homens","Total","47.42","12.70","6.46","17.97","10.29"
"Santa Fé do Sul (SP)","Mulheres","Total","52.58","15.13","5.84","17.90","13.71"
"Santa Gertrudes (SP)","Total","Total","100.00","26.52","21.06","41.88","10.54"
"Santa Gertrudes (SP)","Homens","Total","50.18","12.70","12.02","20.97","4.49"
"Santa Gertrudes (SP)","Mulheres","Total","49.82","13.82","9.04","20.91","6.04"
"Santa Isabel (SP)","Total","Total","100.00","28.86","13.29","43.43","14.42"
"Santa Isabel (SP)","Homens","Total","48.65","14.42","7.19","21.04","6.00"
"Santa Isabel (SP)","Mulheres","Total","51.35","14.44","6.10","22.39","8.41"
"Santa Lúcia (SP)","Total","Total","100.00","34.44","15.71","41.14","8.69"
"Santa Lúcia (SP)","Homens","Total","47.85","15.08","8.33","20.90","3.54"
"Santa Lúcia (SP)","Mulheres","Total","52.15","19.36","7.37","20.25","5.17"
"Santa Maria da Serra (SP)","Total","Total","100.00","39.89","16.54","34.67","8.88"
"Santa Maria da Serra (SP)","Homens","Total","50.08","20.52","8.47","18.13","2.95"
"Santa Maria da Serra (SP)","Mulheres","Total","49.92","19.39","8.07","16.54","5.95"
"Santa Mercedes (SP)","Total","Total","100.00","32.05","18.34","39.51","10.05"
"Santa Mercedes (SP)","Homens","Total","48.81","16.45","9.08","19.31","3.92"
"Santa Mercedes (SP)","Mulheres","Total","51.19","15.61","9.26","20.19","6.13"
"Santana da Ponte Pensa (SP)","Total","Total","100.00","39.91","13.35","34.31","12.42"
"Santana da Ponte Pensa (SP)","Homens","Total","49.53","19.74","6.96","17.66","5.17"
"Santana da Ponte Pensa (SP)","Mulheres","Total","50.47","20.10","6.39","16.73","7.18"
"Santana de Parnaíba (SP)","Total","Total","100.00","18.02","10.62","41.13","30.24"
"Santana de Parnaíba (SP)","Homens","Total","47.90","8.40","5.58","20.21","13.71"
"Santana de Parnaíba (SP)","Mulheres","Total","52.10","9.62","5.03","20.92","16.53"
"Santa Rita d'Oeste (SP)","Total","Total","100.00","42.86","10.35","28.13","18.66"
"Santa Rita d'Oeste (SP)","Homens","Total","48.83","20.88","6.46","13.71","7.78"
"Santa Rita d'Oeste (SP)","Mulheres","Total","51.17","21.98","3.89","14.37","10.88"
"Santa Rita do Passa Quatro (SP)","Total","Total","100.00","29.49","16.37","35.30","18.84"
"Santa Rita do Passa Quatro (SP)","Homens","Total","47.48","14.61","8.70","17.32","6.84"
"Santa Rita do Passa Quatro (SP)","Mulheres","Total","52.52","14.88","7.67","17.98","11.99"
"Santa Rosa de Viterbo (SP)","Total","Total","100.00","29.23","16.07","40.61","14.09"
