"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Município","Sexo","Cor ou raça","Ano x Nível de instrução x Grupo de idade"
"Município","Sexo","Cor ou raça","2022"
"Município","Sexo","Cor ou raça","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo"
"Município","Sexo","Cor ou raça","Total","Total","Total","Total","Total"
"Boracéia (SP)","Homens","Total","1770","684","366","587","132"
"Boracéia (SP)","Mulheres","Total","1779","742","252","559","226"
"Borborema (SP)","Total","Total","11417","4774","1833","3597","1212"
"Borborema (SP)","Homens","Total","5613","2349","973","1838","453"
"Borborema (SP)","Mulheres","Total","5803","2425","860","1759","759"
"Borebi (SP)","Total","Total","1973","803","266","772","133"
"Borebi (SP)","Homens","Total","962","394","143","378","48"
"Borebi (SP)","Mulheres","Total","1011","409","123","394","85"
"Botucatu (SP)","Total","Total","113457","24250","15988","45667","27552"
"Botucatu (SP)","Homens","Total","53595","11125","8007","22443","12021"
"Botucatu (SP)","Mulheres","Total","59862","13125","7981","23224","15531"
"Bragança Paulista (SP)","Total","Total","139650","34238","19523","57884","28006"
"Bragança Paulista (SP)","Homens","Total","66738","16504","9863","28020","12351"
"Bragança Paulista (SP)","Mulheres","Total","72912","17733","9660","29864","15655"
"Braúna (SP)","Total","Total","4138","1522","504","1398","714"
"Braúna (SP)","Homens","Total","2017","764","250","753","251"
"Braúna (SP)","Mulheres","Total","2120","757","254","646","463"
"Brejo Alegre (SP)","Total","Total","2006","800","332","703","171"
"Brejo Alegre (SP)","Homens","Total","994","392","183","361","59"
"Brejo Alegre (SP)","Mulheres","Total","1012","408","149","342","113"
"Brodowski (SP)","Total","Total","19558","6622","3134","6471","3332"
"Brodowski (SP)","Homens","Total","9508","3320","1694","3174","1320"
"Brodowski (SP)","Mulheres","Total","10050","3302","1439","3297","2012"
"Brotas (SP)","Total","Total","18546","6545","3989","5657","2356"
"Brotas (SP)","Homens","Total","8811","3044","2104","2781","882"
"Brotas (SP)","Mulheres","Total","9735","3501","1884","2876","1474"
"Buri (SP)","Total","Total","14673","6105","3151","4381","1035"
"Buri (SP)","Homens","Total","7309","3252","1576","2185","295"
"Buri (SP)","Mulheres","Total","7364","2853","1575","2196","740"
"Buritama (SP)","Total","Total","13594","4601","1864","5466","1662"
"Buritama (SP)","Homens","Total","6554","2220","1001","2625","709"
"Buritama (SP)","Mulheres","Total","7039","2382","863","2841","954"
"Buritizal (SP)","Total","Total","3406","1222","501","1115","567"
"Buritizal (SP)","Homens","Total","1640","630","266","544","200"
"Buritizal (SP)","Mulheres","Total","1766","592","235","571","367"
"Cabrália Paulista (SP)","Total","Total","3316","1285","562","1184","286"
"Cabrália Paulista (SP)","Homens","Total","1660","610","346","589","115"
"Cabrália Paulista (SP)","Mulheres","Total","1655","674","216","594","170"
"Cabreúva (SP)","Total","Total","35277","9835","4995","16608","3839"
"Cabreúva (SP)","Homens","Total","17336","4854","2479","8494","1509"
"Cabreúva (SP)","Mulheres","Total","17941","4981","2516","8114","2330"
"Caçapava (SP)","Total","Total","74273","17585","10841","33125","12722"
"Caçapava (SP)","Homens","Total","35841","7951","5612","16582","5697"
"Caçapava (SP)","Mulheres","Total","38432","9634","5229","16543","7026"
"Cachoeira Paulista (SP)","Total","Total","24347","6067","3374","10887","4019"
"Cachoeira Paulista (SP)","Homens","Total","11596","2830","1657","5466","1642"
"Cachoeira Paulista (SP)","Mulheres","Total","12751","3236","1717","5420","2378"
"Caconde (SP)","Total","Total","13482","5231","1796","4428","2027"
"Caconde (SP)","Homens","Total","6610","2755","958","2081","817"
"Caconde (SP)","Mulheres","Total","6871","2476","838","2347","1210"
"Cafelândia (SP)","Total","Total","12869","4666","2187","4083","1934"
"Cafelândia (SP)","Homens","Total","6146","2327","1150","1886","783"
"Cafelândia (SP)","Mulheres","Total","6723","2339","1036","2198","1150"
"Caiabu (SP)","Total","Total","2944","1109","349","1179","307"
"Caiabu (SP)","Homens","Total","1474","549","195","640","89"
"Caiabu (SP)","Mulheres","Total","1470","559","154","540","218"
"Caieiras (SP)","Total","Total","72651","16899","14064","29270","12418"
"Caieiras (SP)","Homens","Total","34151","7498","6809","14660","5184"
"Caieiras (SP)","Mulheres","Total","38499","9400","7256","14610","7233"
"Caiuá (SP)","Total","Total","4569","1783","976","1377","432"
"Caiuá (SP)","Homens","Total","2842","1089","819","776","158"
"Caiuá (SP)","Mulheres","Total","1727","694","157","601","275"
"Cajamar (SP)","Total","Total","69108","14009","8741","33276","13082"
"Cajamar (SP)","Homens","Total","33465","6537","4796","16632","5500"
"Cajamar (SP)","Mulheres","Total","35644","7472","3945","16644","7583"
"Cajati (SP)","Total","Total","20864","8287","3084","7794","1699"
"Cajati (SP)","Homens","Total","10461","4094","1541","4100","726"
"Cajati (SP)","Mulheres","Total","10403","4193","1543","3695","973"
"Cajobi (SP)","Total","Total","7324","2831","882","2708","903"
"Cajobi (SP)","Homens","Total","3615","1428","479","1400","308"
"Cajobi (SP)","Mulheres","Total","3709","1403","403","1308","594"
"Cajuru (SP)","Total","Total","18306","6425","3171","6148","2563"
"Cajuru (SP)","Homens","Total","8955","3229","1698","2847","1181"
"Cajuru (SP)","Mulheres","Total","9351","3196","1472","3301","1382"
"Campina do Monte Alegre (SP)","Total","Total","4597","1727","618","1747","505"
"Campina do Monte Alegre (SP)","Homens","Total","2307","890","324","915","177"
"Campina do Monte Alegre (SP)","Mulheres","Total","2290","837","293","832","327"
"Campinas (SP)","Total","Total","909152","190526","124984","343602","250040"
"Campinas (SP)","Homens","Total","424958","87264","61686","163174","112833"
"Campinas (SP)","Mulheres","Total","484194","103262","63298","180428","137206"
"Campo Limpo Paulista (SP)","Total","Total","59249","16010","8192","25910","9137"
"Campo Limpo Paulista (SP)","Homens","Total","28467","7110","4246","13152","3960"
"Campo Limpo Paulista (SP)","Mulheres","Total","30781","8900","3946","12759","5177"
"Campos do Jordão (SP)","Total","Total","36197","12222","6388","12825","4763"
"Campos do Jordão (SP)","Homens","Total","17393","6117","3381","6029","1866"
"Campos do Jordão (SP)","Mulheres","Total","18804","6105","3007","6796","2897"
"Campos Novos Paulista (SP)","Total","Total","3722","1538","560","1167","456"
"Campos Novos Paulista (SP)","Homens","Total","1878","800","295","643","140"
"Campos Novos Paulista (SP)","Mulheres","Total","1844","738","266","524","316"
"Cananéia (SP)","Total","Total","9313","3240","1435","3502","1137"
"Cananéia (SP)","Homens","Total","4495","1633","779","1648","434"
"Cananéia (SP)","Mulheres","Total","4818","1607","655","1853","703"
"Canas (SP)","Total","Total","3636","1067","640","1602","327"
"Canas (SP)","Homens","Total","1792","561","293","838","100"
"Canas (SP)","Mulheres","Total","1843","505","346","765","226"
"Cândido Mota (SP)","Total","Total","23110","7797","3787","7869","3657"
"Cândido Mota (SP)","Homens","Total","11101","3723","1907","4050","1421"
"Cândido Mota (SP)","Mulheres","Total","12010","4074","1880","3819","2237"
"Cândido Rodrigues (SP)","Total","Total","2391","784","229","1131","247"
"Cândido Rodrigues (SP)","Homens","Total","1182","378","112","595","97"
"Cândido Rodrigues (SP)","Mulheres","Total","1208","406","116","536","150"
"Canitar (SP)","Total","Total","4596","1569","810","1875","342"
"Canitar (SP)","Homens","Total","2272","737","465","941","129"
"Canitar (SP)","Mulheres","Total","2324","832","345","934","214"
"Capão Bonito (SP)","Total","Total","35428","12974","5415","13491","3547"
"Capão Bonito (SP)","Homens","Total","17276","6417","2784","6634","1442"
"Capão Bonito (SP)","Mulheres","Total","18151","6557","2631","6858","2105"
"Capela do Alto (SP)","Total","Total","17536","7400","3671","5095","1370"
"Capela do Alto (SP)","Homens","Total","9911","4252","2369","2792","498"
"Capela do Alto (SP)","Mulheres","Total","7625","3148","1302","2303","872"
"Capivari (SP)","Total","Total","38467","14101","8576","11010","4780"
"Capivari (SP)","Homens","Total","18511","6792","4235","5347","2138"
"Capivari (SP)","Mulheres","Total","19955","7309","4341","5663","2642"
"Caraguatatuba (SP)","Total","Total","102146","22843","15753","45382","18167"
"Caraguatatuba (SP)","Homens","Total","48885","11593","7926","21921","7445"
"Caraguatatuba (SP)","Mulheres","Total","53261","11250","7827","23461","10722"
"Carapicuíba (SP)","Total","Total","292769","77390","46201","126237","42941"
"Carapicuíba (SP)","Homens","Total","137867","36535","23108","60375","17849"
"Carapicuíba (SP)","Mulheres","Total","154902","40855","23093","65863","25092"
"Cardoso (SP)","Total","Total","9099","3826","1290","2860","1123"
"Cardoso (SP)","Homens","Total","4409","1876","701","1390","441"
"Cardoso (SP)","Mulheres","Total","4690","1950","589","1469","681"
"Casa Branca (SP)","Total","Total","21932","6190","3304","8306","4132"
"Casa Branca (SP)","Homens","Total","11305","3531","1870","4233","1671"
"Casa Branca (SP)","Mulheres","Total","10627","2659","1434","4073","2461"
"Cássia dos Coqueiros (SP)","Total","Total","2267","859","314","797","297"
"Cássia dos Coqueiros (SP)","Homens","Total","1147","480","161","399","107"
"Cássia dos Coqueiros (SP)","Mulheres","Total","1120","379","153","398","190"
"Castilho (SP)","Total","Total","15280","5745","2361","5040","2135"
"Castilho (SP)","Homens","Total","7493","2915","1281","2490","807"
"Castilho (SP)","Mulheres","Total","7787","2830","1079","2550","1328"
"Catanduva (SP)","Total","Total","92663","23582","12751","36477","19853"
"Catanduva (SP)","Homens","Total","43701","10844","6525","17583","8749"
"Catanduva (SP)","Mulheres","Total","48961","12738","6226","18894","11103"
"Catiguá (SP)","Total","Total","5470","1890","790","2322","468"
"Catiguá (SP)","Homens","Total","2712","879","447","1220","166"
"Catiguá (SP)","Mulheres","Total","2757","1011","343","1101","302"
