Cod_mun;municipios;PIB;Ano
3523008;Itapura;R$ 209.348.725,;2023
3523107;Itaquaquecetuba;R$ 11.979.259.765,;2023
3523206;Itararé;R$ 1.406.445.260,;2023
3523305;Itariri;R$ 400.626.557,;2023
3523404;Itatiba;R$ 10.327.467.002,;2023
3523503;Itatinga;R$ 601.160.989,;2023
3523602;Itirapina;R$ 1.570.273.265,;2023
3523701;Itirapuã;R$ 190.876.434,;2023
3523800;Itobi;R$ 251.137.683,;2023
3523909;Itu;R$ 14.012.530.257,;2023
3524006;Itupeva;R$ 10.529.260.248,;2023
3524105;Ituverava;R$ 2.218.625.130,;2023
3524204;Jaborandi;R$ 247.094.751,;2023
3524303;Jaboticabal;R$ 4.156.253.295,;2023
3524402;Jacareí;R$ 19.692.996.445,;2023
3524501;Jaci;R$ 880.800.415,;2023
3524600;Jacupiranga;R$ 698.900.817,;2023
3524709;Jaguariúna;R$ 14.680.877.677,;2023
3524808;Jales;R$ 2.590.208.251,;2023
3524907;Jambeiro;R$ 461.642.156,;2023
3525003;Jandira;R$ 5.547.106.684,;2023
3525102;Jardinópolis;R$ 2.398.612.345,;2023
3525201;Jarinu;R$ 3.546.443.823,;2023
3525300;Jaú;R$ 6.542.932.931,;2023
3525409;Jeriquara;R$ 308.788.507,;2023
3525508;Joanópolis;R$ 335.736.757,;2023
3525607;João Ramalho;R$ 186.999.917,;2023
3525706;José Bonifácio;R$ 1.940.540.325,;2023
3525805;Júlio Mesquita;R$ 82.839.206,;2023
3525854;Jumirim;R$ 287.950.527,;2023
3525904;Jundiaí;R$ 65.418.378.096,;2023
3526001;Junqueirópolis;R$ 940.870.636,;2023
3526100;Juquiá;R$ 446.417.514,;2023
3526209;Juquitiba;R$ 660.665.184,;2023
3526308;Lagoinha;R$ 101.410.723,;2023
3526407;Laranjal Paulista;R$ 1.688.979.269,;2023
3526506;Lavínia;R$ 262.293.976,;2023
3526605;Lavrinhas;R$ 169.896.176,;2023
3526704;Leme;R$ 4.938.511.737,;2023
3526803;Lençóis Paulista;R$ 6.564.647.742,;2023
3526902;Limeira;R$ 20.876.940.083,;2023
3527009;Lindóia;R$ 405.308.216,;2023
3527108;Lins;R$ 8.610.362.609,;2023
3527207;Lorena;R$ 4.501.317.953,;2023
3527256;Lourdes;R$ 55.440.123,;2023
3527306;Louveira;R$ 20.154.612.051,;2023
3527405;Lucélia;R$ 600.068.339,;2023
3527504;Lucianópolis;R$ 138.654.329,;2023
3527603;Luís Antônio;R$ 2.385.616.849,;2023
3527702;Luiziânia;R$ 117.808.607,;2023
3527801;Lupércio;R$ 115.243.875,;2023
3527900;Lutécia;R$ 135.644.625,;2023
3528007;Macatuba;R$ 691.847.287,;2023
3528106;Macaubal;R$ 245.038.153,;2023
3528205;Macedônia;R$ 123.749.527,;2023
3528304;Magda;R$ 168.948.851,;2023
3528403;Mairinque;R$ 2.923.463.212,;2023
3528502;Mairiporã;R$ 2.767.181.265,;2023
3528601;Manduri;R$ 361.118.423,;2023
3528700;Marabá Paulista;R$ 201.667.809,;2023
3528809;Maracaí;R$ 1.039.675.675,;2023
3528858;Marapoama;R$ 163.561.590,;2023
3528908;Mariápolis;R$ 90.254.596,;2023
3529005;Marília;R$ 12.507.570.770,;2023
3529104;Marinópolis;R$ 56.364.596,;2023
3529203;Martinópolis;R$ 949.416.286,;2023
3529302;Matão;R$ 7.646.780.494,;2023
3529401;Mauá;R$ 25.000.732.020,;2023
3529500;Mendonça;R$ 593.744.816,;2023
