id_municipio,municipio,populacao_media_2022_2025,municipio_chave
3538006,Pindamonhangaba,168891.0,PINDAMONHANGABA
3538105,Pindorama,14627.25,PINDORAMA
3538204,Pinhalzinho,15432.25,PINHALZINHO
3538303,Piquerobi,3277.75,PIQUEROBI
3538501,Piquete,12516.5,PIQUETE
3538600,Piracaia,26404.25,PIRACAIA
3538709,Piracicaba,431577.0,PIRACICABA
3538808,Piraju,29856.75,PIRAJU
3538907,Pirajuí,22584.75,PIRAJUI
3539004,Pirangi,10982.75,PIRANGI
3539103,Pirapora do Bom Jesus,18625.25,PIRAPORA DO BOM JESUS
3539202,Pirapozinho,25714.5,PIRAPOZINHO
3539301,Pirassununga,74539.75,PIRASSUNUNGA
3539400,Piratininga,15356.75,PIRATININGA
3539509,Pitangueiras,34031.25,PITANGUEIRAS
3539608,Planalto,4420.75,PLANALTO
3539707,Platina,3041.5,PLATINA
3539806,Poá,105079.0,POA
3539905,Poloni,5645.5,POLONI
3540002,Pompéia,20356.0,POMPEIA
3540101,Pongaí,3418.25,PONGAI
3540200,Pontal,37969.0,PONTAL
3540259,Pontalinda,4162.0,PONTALINDA
3540309,Pontes Gestal,2400.0,PONTES GESTAL
3540408,Populina,4155.25,POPULINA
3540507,Porangaba,10631.25,PORANGABA
3540606,Porto Feliz,57486.0,PORTO FELIZ
3540705,Porto Ferreira,53301.0,PORTO FERREIRA
3540754,Potim,20588.0,POTIM
3540804,Potirendaba,18770.75,POTIRENDABA
3540853,Pracinha,2586.0,PRACINHA
3540903,Pradópolis,17191.0,PRADOPOLIS
3541000,Praia Grande,358496.5,PRAIA GRANDE
3541059,Pratânia,5190.5,PRATANIA
3541109,Presidente Alves,3819.75,PRESIDENTE ALVES
3541208,Presidente Bernardes,14638.75,PRESIDENTE BERNARDES
3541307,Presidente Epitácio,39928.75,PRESIDENTE EPITACIO
3541406,Presidente Prudente,230031.25,PRESIDENTE PRUDENTE
3541505,Presidente Venceslau,35528.5,PRESIDENTE VENCESLAU
3541604,Promissão,35556.5,PROMISSAO
3541653,Quadra,3439.75,QUADRA
3541703,Quatá,13284.25,QUATA
3541802,Queiroz,3311.75,QUEIROZ
3541901,Queluz,9134.5,QUELUZ
3542008,Quintana,7140.25,QUINTANA
3542107,Rafard,9052.0,RAFARD
3542206,Rancharia,28967.0,RANCHARIA
3542305,Redenção da Serra,4559.0,REDENCAO DA SERRA
3542404,Regente Feijó,20368.75,REGENTE FEIJO
3542503,Reginópolis,7738.0,REGINOPOLIS
3542602,Registro,60888.25,REGISTRO
3542701,Restinga,6446.5,RESTINGA
3542800,Ribeira,3147.0,RIBEIRA
3542909,Ribeirão Bonito,11024.25,RIBEIRAO BONITO
3543006,Ribeirão Branco,18781.5,RIBEIRAO BRANCO
3543105,Ribeirão Corrente,4659.75,RIBEIRAO CORRENTE
3543204,Ribeirão do Sul,4724.5,RIBEIRAO DO SUL
3543238,Ribeirão dos Índios,2033.75,RIBEIRAO DOS INDIOS
3543253,Ribeirão Grande,7510.25,RIBEIRAO GRANDE
3543303,Ribeirão Pires,117237.25,RIBEIRAO PIRES
3543402,Ribeirão Preto,714330.75,RIBEIRAO PRETO
3543501,Riversul,5618.25,RIVERSUL
3543600,Rifaina,4108.75,RIFAINA
3543709,Rincão,9110.5,RINCAO
3543808,Rinópolis,9302.25,RINOPOLIS
3543907,Rio Claro,205504.0,RIO CLARO
3544004,Rio das Pedras,31813.0,RIO DAS PEDRAS
3544103,Rio Grande da Serra,44745.25,RIO GRANDE DA SERRA
3544202,Riolândia,10378.75,RIOLANDIA
3544251,Rosana,17461.75,ROSANA
3544301,Roseira,10974.0,ROSEIRA
3544400,Rubiácea,2720.25,RUBIACEA
3544509,Rubinéia,3907.25,RUBINEIA
3544608,Sabino,5147.75,SABINO
3544707,Sagres,2497.25,SAGRES
3544806,Sales,6532.75,SALES
3544905,Sales Oliveira,11539.75,SALES OLIVEIRA
3545001,Salesópolis,15295.25,SALESOPOLIS
3545100,Salmourão,4845.5,SALMOURAO
3545159,Saltinho,8275.0,SALTINHO
3545209,Salto,137468.5,SALTO
3545308,Salto de Pirapora,44474.0,SALTO DE PIRAPORA
3545407,Salto Grande,9133.25,SALTO GRANDE
3545506,Sandovalina,3671.5,SANDOVALINA
3545605,Santa Adélia,14108.0,SANTA ADELIA
3545704,Santa Albertina,6473.75,SANTA ALBERTINA
3545803,Santa Bárbara d'Oeste,186372.0,SANTA BARBARA DOESTE
3546009,Santa Branca,14095.25,SANTA BRANCA
3546108,Santa Clara d'Oeste,2641.75,SANTA CLARA DOESTE
3546207,Santa Cruz da Conceição,4323.5,SANTA CRUZ DA CONCEICAO
3546256,Santa Cruz da Esperança,2140.5,SANTA CRUZ DA ESPERANCA
3546306,Santa Cruz das Palmeiras,29185.5,SANTA CRUZ DAS PALMEIRAS
3546405,Santa Cruz do Rio Pardo,47080.0,SANTA CRUZ DO RIO PARDO
3546504,Santa Ernestina,6191.5,SANTA ERNESTINA
3546603,Santa Fé do Sul,35493.5,SANTA FE DO SUL
3546702,Santa Gertrudes,23630.25,SANTA GERTRUDES
3546801,Santa Isabel,53906.25,SANTA ISABEL
3546900,Santa Lúcia,7155.75,SANTA LUCIA
3547007,Santa Maria da Serra,5277.0,SANTA MARIA DA SERRA
3547106,Santa Mercedes,2985.25,SANTA MERCEDES
3547205,Santana da Ponte Pensa,1684.25,SANTANA DA PONTE PENSA
3547304,Santana de Parnaíba,158584.5,SANTANA DE PARNAIBA
3547403,Santa Rita d'Oeste,2763.0,SANTA RITA DOESTE
3547502,Santa Rita do Passa Quatro,24930.5,SANTA RITA DO PASSA QUATRO
3547601,Santa Rosa de Viterbo,23564.25,SANTA ROSA DE VITERBO
3547650,Santa Salete,1667.0,SANTA SALETE
3547700,Santo Anastácio,17982.75,SANTO ANASTACIO
3547809,Santo André,764649.25,SANTO ANDRE
3547908,Santo Antônio da Alegria,6850.0,SANTO ANTONIO DA ALEGRIA
3548005,Santo Antônio de Posse,23533.5,SANTO ANTONIO DE POSSE
3548054,Santo Antônio do Aracanguá,8479.75,SANTO ANTONIO DO ARACANGUA
3548104,Santo Antônio do Jardim,6183.0,SANTO ANTONIO DO JARDIM
3548203,Santo Antônio do Pinhal,7218.5,SANTO ANTONIO DO PINHAL
3548302,Santo Expedito,3033.0,SANTO EXPEDITO
3548401,Santópolis do Aguapeí,3913.0,SANTOPOLIS DO AGUAPEI
