id_municipio,municipio,ano,n_consumado,n_tentativa,n_outro,n_total
3509106,Caiuá,2023,0,0,0,0
3509106,Caiuá,2024,0,0,0,0
3509106,Caiuá,2025,0,0,0,0
3509205,Cajamar,2022,0,1,0,1
3509205,Cajamar,2023,0,0,0,0
3509205,Cajamar,2024,0,1,0,1
3509205,Cajamar,2025,0,0,0,0
3509254,Cajati,2022,0,1,0,1
3509254,Cajati,2023,0,0,0,0
3509254,Cajati,2024,0,0,0,0
3509254,Cajati,2025,0,0,0,0
3509304,Cajobi,2022,0,0,0,0
3509304,Cajobi,2023,0,0,0,0
3509304,Cajobi,2024,0,0,0,0
3509304,Cajobi,2025,0,0,0,0
3509403,Cajuru,2022,0,0,0,0
3509403,Cajuru,2023,0,0,0,0
3509403,Cajuru,2024,0,1,0,1
3509403,Cajuru,2025,1,0,0,1
3509452,Campina do Monte Alegre,2022,0,0,0,0
3509452,Campina do Monte Alegre,2023,0,0,0,0
3509452,Campina do Monte Alegre,2024,0,0,0,0
3509452,Campina do Monte Alegre,2025,0,0,0,0
3509502,Campinas,2022,0,5,0,5
3509502,Campinas,2023,7,6,0,13
3509502,Campinas,2024,5,6,0,11
3509502,Campinas,2025,3,4,0,7
3509601,Campo Limpo Paulista,2022,0,0,0,0
3509601,Campo Limpo Paulista,2023,1,0,0,1
3509601,Campo Limpo Paulista,2024,0,1,0,1
3509601,Campo Limpo Paulista,2025,0,2,0,2
3509700,Campos do Jordão,2022,0,0,0,0
3509700,Campos do Jordão,2023,0,0,0,0
3509700,Campos do Jordão,2024,0,1,0,1
3509700,Campos do Jordão,2025,0,0,0,0
3509809,Campos Novos Paulista,2022,0,0,0,0
3509809,Campos Novos Paulista,2023,0,0,0,0
3509809,Campos Novos Paulista,2024,0,0,0,0
3509809,Campos Novos Paulista,2025,0,0,0,0
3509908,Cananéia,2022,0,1,0,1
3509908,Cananéia,2023,0,0,0,0
3509908,Cananéia,2024,0,0,0,0
3509908,Cananéia,2025,1,0,0,1
3509957,Canas,2022,0,0,0,0
3509957,Canas,2023,0,0,0,0
3509957,Canas,2024,0,0,0,0
3509957,Canas,2025,0,0,0,0
3510005,Cândido Mota,2022,0,0,0,0
3510005,Cândido Mota,2023,0,0,0,0
3510005,Cândido Mota,2024,0,0,0,0
3510005,Cândido Mota,2025,0,0,0,0
3510104,Cândido Rodrigues,2022,0,0,0,0
3510104,Cândido Rodrigues,2023,0,0,0,0
3510104,Cândido Rodrigues,2024,0,0,0,0
3510104,Cândido Rodrigues,2025,0,0,0,0
3510153,Canitar,2022,0,0,0,0
3510153,Canitar,2023,0,0,0,0
3510153,Canitar,2024,0,0,0,0
3510153,Canitar,2025,0,0,0,0
3510203,Capão Bonito,2022,0,0,0,0
3510203,Capão Bonito,2023,0,0,0,0
3510203,Capão Bonito,2024,0,2,0,2
3510203,Capão Bonito,2025,0,0,0,0
3510302,Capela do Alto,2022,0,2,0,2
3510302,Capela do Alto,2023,0,0,0,0
3510302,Capela do Alto,2024,0,0,0,0
3510302,Capela do Alto,2025,0,0,0,0
3510401,Capivari,2022,0,0,0,0
3510401,Capivari,2023,0,0,0,0
3510401,Capivari,2024,0,0,0,0
3510401,Capivari,2025,0,1,0,1
3510500,Caraguatatuba,2022,0,3,0,3
3510500,Caraguatatuba,2023,2,0,0,2
3510500,Caraguatatuba,2024,2,3,0,5
3510500,Caraguatatuba,2025,0,2,0,2
3510609,Carapicuíba,2022,0,3,0,3
3510609,Carapicuíba,2023,3,2,0,5
3510609,Carapicuíba,2024,0,3,0,3
3510609,Carapicuíba,2025,1,0,0,1
3510708,Cardoso,2022,0,1,0,1
3510708,Cardoso,2023,0,0,0,0
3510708,Cardoso,2024,0,0,0,0
3510708,Cardoso,2025,0,0,0,0
3510807,Casa Branca,2022,0,0,0,0
3510807,Casa Branca,2023,0,0,0,0
3510807,Casa Branca,2024,0,0,0,0
3510807,Casa Branca,2025,0,1,0,1
3510906,Cássia dos Coqueiros,2022,0,0,0,0
3510906,Cássia dos Coqueiros,2023,0,0,0,0
3510906,Cássia dos Coqueiros,2024,0,0,0,0
3510906,Cássia dos Coqueiros,2025,0,0,0,0
3511003,Castilho,2022,0,0,0,0
3511003,Castilho,2023,0,0,0,0
3511003,Castilho,2024,0,0,0,0
3511003,Castilho,2025,0,0,0,0
3511102,Catanduva,2022,0,1,0,1
3511102,Catanduva,2023,0,0,0,0
3511102,Catanduva,2024,0,0,0,0
3511102,Catanduva,2025,1,0,0,1
3511201,Catiguá,2022,0,0,0,0
3511201,Catiguá,2023,0,0,0,0
3511201,Catiguá,2024,1,0,0,1
3511201,Catiguá,2025,0,0,0,0
3511300,Cedral,2022,0,0,0,0
3511300,Cedral,2023,0,0,0,0
3511300,Cedral,2024,0,0,0,0
3511300,Cedral,2025,0,0,0,0
3511409,Cerqueira César,2022,0,0,0,0
3511409,Cerqueira César,2023,0,0,0,0
3511409,Cerqueira César,2024,0,1,0,1
3511409,Cerqueira César,2025,0,0,0,0
3511508,Cerquilho,2022,0,0,0,0
3511508,Cerquilho,2023,0,0,0,0
3511508,Cerquilho,2024,0,0,0,0
3511508,Cerquilho,2025,0,0,0,0
3511607,Cesário Lange,2022,0,0,0,0
3511607,Cesário Lange,2023,0,0,0,0
3511607,Cesário Lange,2024,0,0,0,0
3511607,Cesário Lange,2025,0,0,0,0
3511706,Charqueada,2022,0,1,0,1
3511706,Charqueada,2023,0,0,0,0
3511706,Charqueada,2024,1,0,0,1
3511706,Charqueada,2025,0,0,0,0
3511904,Clementina,2022,0,0,0,0
3511904,Clementina,2023,0,0,0,0
