id_municipio,municipio,ano,n_consumado,n_total,n_tentativa,taxa_feminicidio_consumado_100k,taxa_feminicidio_total_100k,populacao,pib_per_capita_2022,taxa_alfabetizacao,anos_medios_estudo,pct_ensino_medio,pct_ensino_superior,taxa_urbanizacao_pct,taxa_saneamento_basico_pct,taxa_trafico_drogas_100k
3501202,Álvares Florence,2023,0,0,0,0.0,0.0,3915,34516.89885057471,0.9350882440921328,8.5,0.4049483244597557,0.1067961165048543,68.558382257,68.9497716895,0.0
3501202,Álvares Florence,2024,0,0,0,0.0,0.0,3978,34516.89885057471,0.9350882440921328,8.5,0.4049483244597557,0.1067961165048543,68.558382257,68.9497716895,0.0
3501202,Álvares Florence,2025,0,0,0,0.0,0.0,3979,34516.89885057471,0.9350882440921328,8.5,0.4049483244597557,0.1067961165048543,68.558382257,68.9497716895,25.131942699170644
3501301,Álvares Machado,2022,0,1,1,0.0,3.66905155017428,27255,30102.75688864429,0.9577407373856328,9.8,0.5264514896867838,0.1546027501909855,92.4713750127,90.4144290202,44.028618602091356
3501301,Álvares Machado,2023,0,0,0,0.0,0.0,27255,30102.75688864429,0.9577407373856328,9.8,0.5264514896867838,0.1546027501909855,92.4713750127,90.4144290202,55.0357732526142
3501301,Álvares Machado,2024,0,0,0,0.0,0.0,28250,30102.75688864429,0.9577407373856328,9.8,0.5264514896867838,0.1546027501909855,92.4713750127,90.4144290202,24.778761061946902
3501301,Álvares Machado,2025,0,1,1,0.0,3.522863383357994,28386,30102.75688864429,0.9577407373856328,9.8,0.5264514896867838,0.1546027501909855,92.4713750127,90.4144290202,70.45726766715987
3501400,Álvaro de Carvalho,2022,0,0,0,0.0,0.0,4808,12401.503119800333,0.9329035339063992,7.3,0.3318605792832597,0.0439371624938635,91.9520547945,91.8664383562,228.78535773710485
3501400,Álvaro de Carvalho,2023,0,0,0,0.0,0.0,4808,12401.503119800333,0.9329035339063992,7.3,0.3318605792832597,0.0439371624938635,91.9520547945,91.8664383562,41.597337770382694
3501400,Álvaro de Carvalho,2024,0,0,0,0.0,0.0,4896,12401.503119800333,0.9329035339063992,7.3,0.3318605792832597,0.0439371624938635,91.9520547945,91.8664383562,224.67320261437908
3501400,Álvaro de Carvalho,2025,0,0,0,0.0,0.0,4901,12401.503119800333,0.9329035339063992,7.3,0.3318605792832597,0.0439371624938635,91.9520547945,91.8664383562,367.27198530912057
3501509,Alvinlândia,2022,0,0,0,0.0,0.0,2885,22323.779896013864,0.9270699270699272,8.5,0.4554140127388535,0.1237488626023657,91.5590863952,93.2472691162,34.66204506065858
3501509,Alvinlândia,2023,0,0,0,0.0,0.0,2885,22323.779896013864,0.9270699270699272,8.5,0.4554140127388535,0.1237488626023657,91.5590863952,93.2472691162,34.66204506065858
3501509,Alvinlândia,2024,0,0,0,0.0,0.0,2923,22323.779896013864,0.9270699270699272,8.5,0.4554140127388535,0.1237488626023657,91.5590863952,93.2472691162,0.0
3501509,Alvinlândia,2025,0,0,0,0.0,0.0,2919,22323.779896013864,0.9270699270699272,8.5,0.4554140127388535,0.1237488626023657,91.5590863952,93.2472691162,68.51661527920521
3501608,Americana,2022,0,0,0,0.0,0.0,237240,70298.39207553532,0.983321327644484,10.9,0.6562808839918414,0.2431082700759089,99.8441791379,95.7110027465,115.07334344967121
3501608,Americana,2023,0,0,0,0.0,0.0,237240,70298.39207553532,0.983321327644484,10.9,0.6562808839918414,0.2431082700759089,99.8441791379,95.7110027465,134.04147698533131
3501608,Americana,2024,3,3,0,1.2162737426770185,1.2162737426770185,246655,70298.39207553532,0.983321327644484,10.9,0.6562808839918414,0.2431082700759089,99.8441791379,95.7110027465,94.05850276702276
3501608,Americana,2025,0,0,0,0.0,0.0,247571,70298.39207553532,0.983321327644484,10.9,0.6562808839918414,0.2431082700759089,99.8441791379,95.7110027465,98.96151003146574
3501707,Américo Brasiliense,2022,0,0,0,0.0,0.0,33019,41697.6369363094,0.9449740196628164,8.8,0.4920216947020908,0.0567127810092752,99.1148891421,99.3339759881,72.68542354402011
3501707,Américo Brasiliense,2023,1,1,0,3.028559314334171,3.028559314334171,33019,41697.6369363094,0.9449740196628164,8.8,0.4920216947020908,0.0567127810092752,99.1148891421,99.3339759881,69.65686422968594
3501707,Américo Brasiliense,2024,1,1,0,2.9623485499303848,2.9623485499303848,33757,41697.6369363094,0.9449740196628164,8.8,0.4920216947020908,0.0567127810092752,99.1148891421,99.3339759881,53.32227389874693
3501707,Américo Brasiliense,2025,0,0,0,0.0,0.0,33708,41697.6369363094,0.9449740196628164,8.8,0.4920216947020908,0.0567127810092752,99.1148891421,99.3339759881,109.76622760175627
3501806,Américo de Campos,2022,0,0,0,0.0,0.0,5870,24138.37155025553,0.9545270816491512,9.1,0.4638958858102435,0.1202770780856423,87.9288437103,89.1571368064,17.035775127768314
3501806,Américo de Campos,2023,0,0,0,0.0,0.0,5870,24138.37155025553,0.9545270816491512,9.1,0.4638958858102435,0.1202770780856423,87.9288437103,89.1571368064,34.07155025553663
3501806,Américo de Campos,2024,0,0,0,0.0,0.0,5975,24138.37155025553,0.9545270816491512,9.1,0.4638958858102435,0.1202770780856423,87.9288437103,89.1571368064,117.15481171548117
3501806,Américo de Campos,2025,0,0,0,0.0,0.0,5981,24138.37155025553,0.9545270816491512,9.1,0.4638958858102435,0.1202770780856423,87.9288437103,89.1571368064,66.87844841999666
3501905,Amparo,2022,0,0,0,0.0,0.0,68008,90523.65992236209,0.9677560523045146,10.3,0.600353860874903,0.1922944989077253,92.6258625618,89.8248336123,172.03858369603577
